pc_item_name,glcat_mcat_id,glcat_mcat_name
MVE-E 4 Pole Electric Vibration Motor,2743,Vibration Motor
AC Servo Motors,14970,AC Servo Motor
AC Servo Motors,14970,AC Servo Motor
SGL Vibratory Motor,2743,Vibration Motor
IRS SunnySky M5380 450KV Brushless Motor,23616,Brushless Motors
Regular Auto Switch,140407,Motor Automatic Switch
5HP Aluminium Bell Housing,136623,Bell Housing
YTC Positioner,40629,Valve Positioners
55 KW Crompton Industrial Motors,193884,Crompton Greaves Industrial Motors
Pmdc Geared Motor,183437,PMDC Geared Motor
Omax Star Delta Starter,226794,3 Phase Motor Starter
DC Motor 540,445,DC Motor
"MY6812 24VDC 150W, 2750 RPM Electric Motor (Chain)",445,DC Motor
Probots 300 RPM L type single shaft BO Motor,52893,Battery Operated Motor
Cooler Motor,52897,Cooler Motor
B5 Flange Mounted Cooling Tower Motors,131722,Cooling Tower Motors
Inline Helical Geared Motors,43308,Helical Geared Motor
5HP Aluminium Bell Housing,136623,Bell Housing
Star Delta Dryrun starters,33567,Motor Starter
Cage Rotor And Wound Rotor,156253,Wound Rotor Induction Motor
Zbotic TowerPro SG90 180 Degree Rotation Servo Motor,13275,DC Servo Motor
300 RPM BO Motor Dual Shaft BO Motor - Straight,139590,Double Shaft Motor
300 RPM BO Motor Dual Shaft BO Motor - Straight,139590,Double Shaft Motor
L&T Single Phase Starter,226793,Single Phase Motor Starter
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
Single Phase Electrical Actuator,27216,Electric Actuator
Belimo On/Off Damper Actuator,183591,Damper Actuators
General Electric Motors,181196,General Electric AC Motors
General Electric Motors,181196,General Electric AC Motors
5HP Aluminium Bell Housing,136623,Bell Housing
AC Servo Motors,14970,AC Servo Motor
5HP Three Phase Induction Motor,131725,Three Phase Induction Motor
5HP Three Phase Induction Motor,131725,Three Phase Induction Motor
300 RPM BO Motor Dual Shaft BO Motor - Straight,139590,Double Shaft Motor
Encoders,30451,Hollow Shaft Encoders
SGL Vibratory Motor,2743,Vibration Motor
L&T Single Phase Starter,226793,Single Phase Motor Starter
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
YTC Positioner,40629,Valve Positioners
Inline Helical Geared Motors,43308,Helical Geared Motor
Inline Helical Geared Motors,43308,Helical Geared Motor
Ingersoll Rand Air Motor 5hp,21680,Air Motors
5HP Three Phase Induction Motor,131725,Three Phase Induction Motor
SGL Vibratory Motor,2743,Vibration Motor
Copper Carbon Brushes,903,Carbon Brush
Cage Rotor And Wound Rotor,156253,Wound Rotor Induction Motor
Hydraulic Press Machine Servo Motor,14970,AC Servo Motor
SGL Vibratory Motor,2743,Vibration Motor
Dz make AC Gear Motor 6W-250W,150167,Three Phase Gear Motor
General Electric Motors,181196,General Electric AC Motors
Dz make AC Gear Motor 6W-250W,150167,Three Phase Gear Motor
300 RPM BO Motor Dual Shaft BO Motor - Straight,139590,Double Shaft Motor
Panasonic LIQI AC Servo Driver & Motor,14970,AC Servo Motor
Omax Star Delta Starter,226794,3 Phase Motor Starter
Probots 300 RPM L type single shaft BO Motor,52893,Battery Operated Motor
Probots 300 RPM L type single shaft BO Motor,52893,Battery Operated Motor
Probots 300 RPM L type single shaft BO Motor,52893,Battery Operated Motor
Probots 300 RPM L type single shaft BO Motor,52893,Battery Operated Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Cooler Motor,52897,Cooler Motor
Two Stage Helical Gear Motor,29373,Gear Motor
Two Stage Helical Gear Motor,29373,Gear Motor
"40W ,60W ,90 Watt Ac Induction Gear Motor",21549,AC Geared Motor
"40W ,60W ,90 Watt Ac Induction Gear Motor",21549,AC Geared Motor
Hydraulic Press Machine Servo Motor,14970,AC Servo Motor
Hydraulic Press Machine Servo Motor,14970,AC Servo Motor
Doncheng Vacuum Cleaner Motors,40749,Vacuum Cleaner Motors
L&T Single Phase Starter,226793,Single Phase Motor Starter
50 Hz Electric Motors,52927,Single Phase Electric Motor
Industrial Flowserve Positioner,20641,Pneumatic Positioner
Star Delta Dryrun starters,33567,Motor Starter
MVE-E 4 Pole Electric Vibration Motor,2743,Vibration Motor
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
Panasonic LIQI AC Servo Driver & Motor,14970,AC Servo Motor
Industrial Flowserve Positioner,20641,Pneumatic Positioner
Panasonic LIQI AC Servo Driver & Motor,14970,AC Servo Motor
Panasonic LIQI AC Servo Driver & Motor,14970,AC Servo Motor
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
50 Hz Electric Motors,52927,Single Phase Electric Motor
Leyland Alternator Slip Ring,37229,Slip Rings
"40W ,60W ,90 Watt Ac Induction Gear Motor",21549,AC Geared Motor
Inline Gear Motor,43309,Inline Geared Motor
240 V WEG Electric Motor,657268,Weg Motor
V4055 Honeywell Fluid Power Actuator,28339,Fluid Power Actuators
Flame Proof Monoblock Pumps,21079,Flame Proof Motors
KU DOL Motor Starter (also known as MU Starter),26266,DOL Starter
Simple DC motor,445,DC Motor
Motor Automatic Switch,140407,Motor Automatic Switch
Blue Cooling Tower Electric Motor,443716,Tower Fan Motor
Solenoid Switch ... 391,7852,Starter Solenoid Switches
Battery Operated Special Purpose Motors,52893,Battery Operated Motor
DC Motor 535,445,DC Motor
DC Motor .,445,DC Motor
12V DC Motor,445,DC Motor
220V 14W Permanent Magnetic Synchronous AC Motor Gear Machine 50Hz 110RPM/min,1275,Permanent Magnet Motor
220V 14W Permanent Magnetic Synchronous AC Motor Gear Machine 50Hz 110RPM/min,1275,Permanent Magnet Motor
Electric Linear Actuator,158987,Electromechanical Linear Actuator
KU DOL Motor Starter (also known as MU Starter),26266,DOL Starter
Solenoid Switch ... 391,7852,Starter Solenoid Switches
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
240 V WEG Electric Motor,657268,Weg Motor
Hindustan Multi Speed Motors,33658,Multi Speed Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
240 V WEG Electric Motor,657268,Weg Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Hindustan Multi Speed Motors,33658,Multi Speed Motor
Hindustan Multi Speed Motors,33658,Multi Speed Motor
Three Phase Gear Motor,150167,Three Phase Gear Motor
240 V WEG Electric Motor,657268,Weg Motor
KU DOL Motor Starter (also known as MU Starter),26266,DOL Starter
Solenoid Switch ... 391,7852,Starter Solenoid Switches
DC Motor Commutator,106204,Commutator
Auto Part Commutator,106204,Commutator
Power Tools  Commutator,106204,Commutator
Delco Spring Charging Motor,161463,Spring Charging Motor
PMDC MOTORS,52920,PMDC Motor
Battery Operated Special Purpose Motors,52893,Battery Operated Motor
Battery Operated Special Purpose Motors,52893,Battery Operated Motor
DC BO Motors With Wheels,445,DC Motor
DC BO Motors With Wheels,445,DC Motor
220V 14W Permanent Magnetic Synchronous AC Motor Gear Machine 50Hz 110RPM/min,1275,Permanent Magnet Motor
My1016z2 250w Pmdc Geared Motor,183437,PMDC Geared Motor
TAMAGAWA MAKE STEPPER MOTOR,18794,Stepper Motor
TAMAGAWA MAKE STEPPER MOTOR,18794,Stepper Motor
TAMAGAWA MAKE STEPPER MOTOR,18794,Stepper Motor
3 Phase Motor Starter,226794,3 Phase Motor Starter
Hydraulic Motor,10834,Hydraulic Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Three Phase Electric Motor 7.5,52930,Three Phase Electric Motor
