query,success,unique_value_count,total_key_count,raw_output,attributes_json,input_tokens,output_tokens,cost
Cooler Motor,True,2,4,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""cooler motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""cooler motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""application"",""value"":""cooler"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""use"",""value"":""cooler"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""cooler motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""cooler motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""cooler"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""cooler"", ""key_priority"": 2, ""attribute_priority"": 2}]}",0,0,$0.000000
Actuators,True,1,4,"{""attributes"":[{""attribute_key"":""application"",""value"":""actuator"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""use"",""value"":""actuator"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""product_category"",""value"":""actuator"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""category"",""value"":""actuator"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""application"", ""value"": ""actuator"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""use"", ""value"": ""actuator"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""product_category"", ""value"": ""actuator"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""category"", ""value"": ""actuator"", ""key_priority"": 2, ""attribute_priority"": 2}]}",0,0,$0.000000
130 Flat Motor,True,1,2,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""motor"",""key_priority"":2,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""motor"", ""key_priority"": 2, ""attribute_priority"": 1}]}",0,0,$0.000000
ap fan motor & fresh air moter,True,2,4,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""fan motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""fan motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""application"",""value"":""fan"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""use"",""value"":""fan"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""fan motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""fan motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""fan"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""fan"", ""key_priority"": 2, ""attribute_priority"": 2}]}",0,0,$0.000000
a.c. induction motor,True,2,4,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""induction motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""induction motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""current_type"",""value"":""ac"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""supply_type"",""value"":""ac"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""induction motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""induction motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""current_type"", ""value"": ""ac"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""supply_type"", ""value"": ""ac"", ""key_priority"": 2, ""attribute_priority"": 2}]}",0,0,$0.000000
Siemens Sipart Ps2 Positioner Model 6dr5,True,2,7,"{""attributes"":[{""attribute_key"":""brand"",""value"":""siemens"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""siemens"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""siemens"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""application"",""value"":""actuator"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""use"",""value"":""actuator"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""product_category"",""value"":""actuator"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""category"",""value"":""actuator"",""key_priority"":2,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""actuator"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""actuator"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""product_category"", ""value"": ""actuator"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""category"", ""value"": ""actuator"", ""key_priority"": 2, ""attribute_priority"": 3}]}",0,0,$0.000000
Ac Outdoor Fan Motor,True,3,6,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""fan motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""fan motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""current_type"",""value"":""ac"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""supply_type"",""value"":""ac"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""application"",""value"":""fan"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""use"",""value"":""fan"",""key_priority"":2,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""fan motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""fan motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""current_type"", ""value"": ""ac"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""supply_type"", ""value"": ""ac"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""fan"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""use"", ""value"": ""fan"", ""key_priority"": 2, ""attribute_priority"": 3}]}",0,0,$0.000000
siemens-electric-motors,True,2,5,"{""attributes"":[{""attribute_key"":""brand"",""value"":""siemens"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""siemens"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""siemens"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""product_type"",""value"":""motor"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_type"", ""value"": ""motor"", ""key_priority"": 2, ""attribute_priority"": 2}]}",0,0,$0.000000
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,4,11,"{""attributes"":[{""attribute_key"":""brand"",""value"":""siemens"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""siemens"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""siemens"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""servo motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""product_type"",""value"":""servo motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""power"",""value"":""1 kw"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""kilowatt"",""value"":""1 kw"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""wattage"",""value"":""1 kw"",""key_priority"":3,""attribute_priority"":3},{""attribute_key"":""model_number"",""value"":""1FK2104-6AF01-1MB0"",""key_priority"":1,""attribute_priority"":4},{""attribute_key"":""part_number"",""value"":""1FK2104-6AF01-1MB0"",""key_priority"":2,""attribute_priority"":4},{""attribute_key"":""model"",""value"":""1FK2104-6AF01-1MB0"",""key_priority"":3,""attribute_priority"":4}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""servo motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_type"", ""value"": ""servo motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""power"", ""value"": ""1 kw"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""kilowatt"", ""value"": ""1 kw"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""wattage"", ""value"": ""1 kw"", ""key_priority"": 3, ""attribute_priority"": 3}, {""attribute_key"": ""model_number"", ""value"": ""1FK2104-6AF01-1MB0"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""part_number"", ""value"": ""1FK2104-6AF01-1MB0"", ""key_priority"": 2, ""attribute_priority"": 4}, {""attribute_key"": ""model"", ""value"": ""1FK2104-6AF01-1MB0"", ""key_priority"": 3, ""attribute_priority"": 4}]}",0,0,$0.000000
yako tech ms s3,True,1,3,"{""attributes"":[{""attribute_key"":""brand"",""value"":""yako tech"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""yako tech"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""yako tech"",""key_priority"":3,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""yako tech"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""yako tech"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""yako tech"", ""key_priority"": 3, ""attribute_priority"": 1}]}",0,0,$0.000000
