query,ground_truth_count,qmeans_count,gemini_count,gemma_count,ground_truth_attrs,qmeans_attrs,gemini_attrs,gemma_attrs,GT_ATTR1_KEY,GT_ATTR1_VAL,QM_ATTR1_KEY,QM_ATTR1_VAL,GM_ATTR1_KEY,GM_ATTR1_VAL,GM_ATTR2_KEY,GM_ATTR2_VAL,QM_vs_GN_ATTR1_KEY_FOUND,QM_vs_GN_ATTR1_VAL_MATCH,QM_vs_GN_ATTR2_KEY_FOUND,QM_vs_GN_ATTR2_VAL_MATCH,QM_vs_GN_ATTR3_KEY_FOUND,QM_vs_GN_ATTR3_VAL_MATCH,QM_vs_GN_ATTR4_KEY_FOUND,QM_vs_GN_ATTR4_VAL_MATCH,QM_vs_GN_ATTR5_KEY_FOUND,QM_vs_GN_ATTR5_VAL_MATCH,QM_vs_GN_ATTR6_KEY_FOUND,QM_vs_GN_ATTR6_VAL_MATCH,QM_vs_GN_ATTR7_KEY_FOUND,QM_vs_GN_ATTR7_VAL_MATCH,QM_vs_GN_ATTR8_KEY_FOUND,QM_vs_GN_ATTR8_VAL_MATCH,QM_vs_GN_ATTR9_KEY_FOUND,QM_vs_GN_ATTR9_VAL_MATCH,GN_vs_QM_ATTR1_KEY_FOUND,GN_vs_QM_ATTR1_VAL_MATCH,GN_vs_QM_ATTR2_KEY_FOUND,GN_vs_QM_ATTR2_VAL_MATCH,GN_vs_QM_ATTR3_KEY_FOUND,GN_vs_QM_ATTR3_VAL_MATCH,GN_vs_QM_ATTR4_KEY_FOUND,GN_vs_QM_ATTR4_VAL_MATCH,GN_vs_QM_ATTR5_KEY_FOUND,GN_vs_QM_ATTR5_VAL_MATCH,GN_vs_QM_ATTR6_KEY_FOUND,GN_vs_QM_ATTR6_VAL_MATCH,GN_vs_QM_ATTR7_KEY_FOUND,GN_vs_QM_ATTR7_VAL_MATCH,GN_vs_QM_ATTR8_KEY_FOUND,GN_vs_QM_ATTR8_VAL_MATCH,GN_vs_QM_ATTR9_KEY_FOUND,GN_vs_QM_ATTR9_VAL_MATCH,QM_vs_GM_ATTR1_KEY_FOUND,QM_vs_GM_ATTR1_VAL_MATCH,QM_vs_GM_ATTR2_KEY_FOUND,QM_vs_GM_ATTR2_VAL_MATCH,QM_vs_GM_ATTR3_KEY_FOUND,QM_vs_GM_ATTR3_VAL_MATCH,QM_vs_GM_ATTR4_KEY_FOUND,QM_vs_GM_ATTR4_VAL_MATCH,QM_vs_GM_ATTR5_KEY_FOUND,QM_vs_GM_ATTR5_VAL_MATCH,QM_vs_GM_ATTR6_KEY_FOUND,QM_vs_GM_ATTR6_VAL_MATCH,QM_vs_GM_ATTR7_KEY_FOUND,QM_vs_GM_ATTR7_VAL_MATCH,QM_vs_GM_ATTR8_KEY_FOUND,QM_vs_GM_ATTR8_VAL_MATCH,QM_vs_GM_ATTR9_KEY_FOUND,QM_vs_GM_ATTR9_VAL_MATCH,GM_vs_QM_ATTR1_KEY_FOUND,GM_vs_QM_ATTR1_VAL_MATCH,GM_vs_QM_ATTR2_KEY_FOUND,GM_vs_QM_ATTR2_VAL_MATCH,GM_vs_QM_ATTR3_KEY_FOUND,GM_vs_QM_ATTR3_VAL_MATCH,GM_vs_QM_ATTR4_KEY_FOUND,GM_vs_QM_ATTR4_VAL_MATCH,GM_vs_QM_ATTR5_KEY_FOUND,GM_vs_QM_ATTR5_VAL_MATCH,GM_vs_QM_ATTR6_KEY_FOUND,GM_vs_QM_ATTR6_VAL_MATCH,GM_vs_QM_ATTR7_KEY_FOUND,GM_vs_QM_ATTR7_VAL_MATCH,GM_vs_QM_ATTR8_KEY_FOUND,GM_vs_QM_ATTR8_VAL_MATCH,GM_vs_QM_ATTR9_KEY_FOUND,GM_vs_QM_ATTR9_VAL_MATCH,GN_vs_GM_ATTR1_KEY_FOUND,GN_vs_GM_ATTR1_VAL_MATCH,GN_vs_GM_ATTR2_KEY_FOUND,GN_vs_GM_ATTR2_VAL_MATCH,GN_vs_GM_ATTR3_KEY_FOUND,GN_vs_GM_ATTR3_VAL_MATCH,GN_vs_GM_ATTR4_KEY_FOUND,GN_vs_GM_ATTR4_VAL_MATCH,GN_vs_GM_ATTR5_KEY_FOUND,GN_vs_GM_ATTR5_VAL_MATCH,GN_vs_GM_ATTR6_KEY_FOUND,GN_vs_GM_ATTR6_VAL_MATCH,GN_vs_GM_ATTR7_KEY_FOUND,GN_vs_GM_ATTR7_VAL_MATCH,GN_vs_GM_ATTR8_KEY_FOUND,GN_vs_GM_ATTR8_VAL_MATCH,GN_vs_GM_ATTR9_KEY_FOUND,GN_vs_GM_ATTR9_VAL_MATCH,GM_vs_GN_ATTR1_KEY_FOUND,GM_vs_GN_ATTR1_VAL_MATCH,GM_vs_GN_ATTR2_KEY_FOUND,GM_vs_GN_ATTR2_VAL_MATCH,GM_vs_GN_ATTR3_KEY_FOUND,GM_vs_GN_ATTR3_VAL_MATCH,GM_vs_GN_ATTR4_KEY_FOUND,GM_vs_GN_ATTR4_VAL_MATCH,GM_vs_GN_ATTR5_KEY_FOUND,GM_vs_GN_ATTR5_VAL_MATCH,GM_vs_GN_ATTR6_KEY_FOUND,GM_vs_GN_ATTR6_VAL_MATCH,GM_vs_GN_ATTR7_KEY_FOUND,GM_vs_GN_ATTR7_VAL_MATCH,GM_vs_GN_ATTR8_KEY_FOUND,GM_vs_GN_ATTR8_VAL_MATCH,GM_vs_GN_ATTR9_KEY_FOUND,GM_vs_GN_ATTR9_VAL_MATCH,GT_vs_QM_ATTR1_KEY_FOUND,GT_vs_QM_ATTR1_VAL_MATCH,GT_vs_QM_ATTR2_KEY_FOUND,GT_vs_QM_ATTR2_VAL_MATCH,GT_vs_QM_ATTR3_KEY_FOUND,GT_vs_QM_ATTR3_VAL_MATCH,GT_vs_QM_ATTR4_KEY_FOUND,GT_vs_QM_ATTR4_VAL_MATCH,GT_vs_QM_ATTR5_KEY_FOUND,GT_vs_QM_ATTR5_VAL_MATCH,GT_vs_QM_ATTR6_KEY_FOUND,GT_vs_QM_ATTR6_VAL_MATCH,GT_vs_QM_ATTR7_KEY_FOUND,GT_vs_QM_ATTR7_VAL_MATCH,GT_vs_QM_ATTR8_KEY_FOUND,GT_vs_QM_ATTR8_VAL_MATCH,GT_vs_QM_ATTR9_KEY_FOUND,GT_vs_QM_ATTR9_VAL_MATCH,GT_vs_GN_ATTR1_KEY_FOUND,GT_vs_GN_ATTR1_VAL_MATCH,GT_vs_GN_ATTR2_KEY_FOUND,GT_vs_GN_ATTR2_VAL_MATCH,GT_vs_GN_ATTR3_KEY_FOUND,GT_vs_GN_ATTR3_VAL_MATCH,GT_vs_GN_ATTR4_KEY_FOUND,GT_vs_GN_ATTR4_VAL_MATCH,GT_vs_GN_ATTR5_KEY_FOUND,GT_vs_GN_ATTR5_VAL_MATCH,GT_vs_GN_ATTR6_KEY_FOUND,GT_vs_GN_ATTR6_VAL_MATCH,GT_vs_GN_ATTR7_KEY_FOUND,GT_vs_GN_ATTR7_VAL_MATCH,GT_vs_GN_ATTR8_KEY_FOUND,GT_vs_GN_ATTR8_VAL_MATCH,GT_vs_GN_ATTR9_KEY_FOUND,GT_vs_GN_ATTR9_VAL_MATCH,GT_vs_GM_ATTR1_KEY_FOUND,GT_vs_GM_ATTR1_VAL_MATCH,GT_vs_GM_ATTR2_KEY_FOUND,GT_vs_GM_ATTR2_VAL_MATCH,GT_vs_GM_ATTR3_KEY_FOUND,GT_vs_GM_ATTR3_VAL_MATCH,GT_vs_GM_ATTR4_KEY_FOUND,GT_vs_GM_ATTR4_VAL_MATCH,GT_vs_GM_ATTR5_KEY_FOUND,GT_vs_GM_ATTR5_VAL_MATCH,GT_vs_GM_ATTR6_KEY_FOUND,GT_vs_GM_ATTR6_VAL_MATCH,GT_vs_GM_ATTR7_KEY_FOUND,GT_vs_GM_ATTR7_VAL_MATCH,GT_vs_GM_ATTR8_KEY_FOUND,GT_vs_GM_ATTR8_VAL_MATCH,GT_vs_GM_ATTR9_KEY_FOUND,GT_vs_GM_ATTR9_VAL_MATCH,GT_ATTR2_KEY,GT_ATTR2_VAL,QM_ATTR2_KEY,QM_ATTR2_VAL,GN_ATTR1_KEY,GN_ATTR1_VAL,GM_ATTR3_KEY,GM_ATTR3_VAL,GN_ATTR2_KEY,GN_ATTR2_VAL,GN_ATTR3_KEY,GN_ATTR3_VAL,GT_ATTR3_KEY,GT_ATTR3_VAL,QM_ATTR3_KEY,QM_ATTR3_VAL,GM_ATTR4_KEY,GM_ATTR4_VAL,QM_ATTR4_KEY,QM_ATTR4_VAL,GM_ATTR5_KEY,GM_ATTR5_VAL,GT_ATTR4_KEY,GT_ATTR4_VAL,GN_ATTR4_KEY,GN_ATTR4_VAL,GN_ATTR5_KEY,GN_ATTR5_VAL,GN_ATTR6_KEY,GN_ATTR6_VAL,GN_ATTR7_KEY,GN_ATTR7_VAL,GM_ATTR6_KEY,GM_ATTR6_VAL,GM_ATTR7_KEY,GM_ATTR7_VAL,GM_ATTR8_KEY,GM_ATTR8_VAL,GN_ATTR8_KEY,GN_ATTR8_VAL,GN_ATTR9_KEY,GN_ATTR9_VAL,QM_ATTR5_KEY,QM_ATTR5_VAL
"""aloe vera gel extraction machine",0,0,0,1,,,,{'type': 'aloe vera gel extraction machine'},,,,,type,aloe vera gel extraction machine,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Kilogram Automatic Gold Refining Machine,3,3,0,2,"{'type': 'refining machine', 'material': 'gold', 'automation': 'automatic'}","{'capacity': '1 kilogram', 'automation': 'automatic', 'usage': 'gold refining'}",,"{'material loading capacity': '1 kilogram', 'type': 'automatic gold refining machine'}",type,refining machine,capacity,1 kilogram,material loading capacity,1 kilogram,type,automatic gold refining machine,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,material,gold,automation,automatic,,,,,,,,,automation,automatic,usage,gold refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 for business use piece yes Metal Recovery Unit,0,1,0,5,,{'usage': 'metal recovery'},,"{'capacity': '1', 'usage': 'for business use', 'pack type': 'piece', 'eye relief': 'yes', 'features': 'metal recovery unit'}",,,usage,metal recovery,capacity,1,usage,for business use,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,pack type,piece,,,,,,,,,eye relief,yes,,,features,metal recovery unit,,,,,,,,,,,,,,,,,,,,,,
1 kg Automatic Gold Refining Machine Setup,4,2,2,2,"{'type': 'refining machine', 'material': 'gold', 'automation': 'automatic', 'capacity': '1kg'}","{'capacity': '1 kg', 'automation': 'automatic'}","{'capacity(kg)': '[""1 kg', 'automation': 'automatic'}","{'material loading capacity': '1 kg', 'type': 'automatic gold refining machine setup'}",type,refining machine,capacity,1 kg,material loading capacity,1 kg,type,automatic gold refining machine setup,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,material,gold,automation,automatic,capacity(kg),"[""1 kg",,,automation,automatic,,,automation,automatic,,,,,,,,,capacity,1kg,,,,,,,,,,,,,,,,,,,,
1 kg Automatic Gold Refining Plant(aqua regia process),4,2,3,3,"{'type': 'refining plant', 'material': 'gold', 'automation': 'automatic', 'capacity': '1kg'}","{'capacity': '1 kg', 'automation': 'automatic'}","{'capacity(kg)': '[""1 kg', 'automation': 'automatic', 'type': 'gold refining plant'}","{'material loading capacity': '1 kg', 'automation': 'automatic', 'gold refining machine': 'gold refining plant(aqua regia process)'}",type,refining plant,capacity,1 kg,material loading capacity,1 kg,automation,automatic,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,material,gold,automation,automatic,capacity(kg),"[""1 kg",gold refining machine,gold refining plant(aqua regia process),automation,automatic,type,gold refining plant,automation,automatic,,,,,,,,,capacity,1kg,,,,,,,,,,,,,,,,,,,,
1 piece Metal Recovery Unit,0,2,0,2,,"{'set contains': '1 piece', 'usage': 'metal recovery'}",,"{'day chamber': '1 piece', 'features': 'metal recovery unit'}",,,set contains,1 piece,day chamber,1 piece,features,metal recovery unit,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,usage,metal recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 solvent  based  coating 250  gm perylene red,1,2,0,5,{'usage': 'solvent extraction'},"{'packaging size': '250 gm', 'color': 'red'}",,"{'no of handle': '1', 'solvent type': 'solvent', 'finishing': 'based on coating', 'bowl capacity': '250  gm', 'color': 'perylene red'}",usage,solvent extraction,packaging size,250 gm,no of handle,1,solvent type,solvent,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,color,red,,,finishing,based on coating,,,,,,,,,bowl capacity,250  gm,,,color,perylene red,,,,,,,,,,,,,,,,,,,,,,
10 Silver Refining Plant,2,2,0,2,"{'type': 'refining plant', 'material': 'silver'}","{'type': 'refining plant', 'refining material': 'silver'}",,"{'depth': '10', 'heating range': 'silver refining plant'}",type,refining plant,type,refining plant,depth,10,heating range,silver refining plant,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,material,silver,refining material,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 TPD herbal extraction plant,3,2,2,2,"{'type': 'extraction plant', 'capacity': '10tpd', 'usage': 'herbal extraction'}","{'capacity': '10 tpd', 'product': 'herbal extraction'}","{'capacity': '10 tpd', 'usage': 'herbal extraction'}","{'capacity': '10 tpd', 'type': 'herbal extraction plant'}",type,extraction plant,capacity,10 tpd,capacity,10 tpd,type,herbal extraction plant,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capacity,10tpd,product,herbal extraction,capacity,10 tpd,,,usage,herbal extraction,,,usage,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 kg automatic gold refining machine,4,3,2,2,"{'type': 'refining machine', 'material': 'gold', 'automation': 'automatic', 'capacity': '10kg'}","{'capacity': '10 kg', 'automation': 'automatic', 'usage': 'gold refining'}","{'capacity(kg)': '[""10 kg', 'automation': 'automatic'}","{'capacity': '10 kg', 'type': 'automatic gold refining machine'}",type,refining machine,capacity,10 kg,capacity,10 kg,type,automatic gold refining machine,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,material,gold,automation,automatic,capacity(kg),"[""10 kg",,,automation,automatic,,,automation,automatic,usage,gold refining,,,,,,,capacity,10kg,,,,,,,,,,,,,,,,,,,,
