success,query,attr_count,isq_list,isq_pipe,error,request_number,raw_output
False,"prism fully automatic mother baby extruder, 1 ton, 380 v, three phase",0,[],,'NoneType' object has no attribute 'strip',1,
True,mild steel pipe extrusion machine,3,"['mild steel:material to be extruded:specification', 'pipe:product type:specification', 'extrusion machine:product:specification']",mild steel:material to be extruded:specification | pipe:product type:specification | extrusion machine:product:specification,,2,"[""mild steel:material to be extruded:specification"", ""pipe:product type:specification"", ""extrusion machine:product:specification""]"
False,turbo semi-automatic pet extruder,0,[],,'NoneType' object has no attribute 'strip',3,
False,turbo epe foam extruder,0,[],,'NoneType' object has no attribute 'strip',4,
True,"labh group automatic oil extraction plant, 1000 liter, 400 v, 1 phase",6,"['[""labh group:brand:specification""', '""automatic:automation grade:specification""', '""oil extraction plant:product:specification""', '""1000 liter:capacity:specification""', '""400 v:voltage:specification""', '""1 phase:phase:specification""]']","[""labh group:brand:specification"" | ""automatic:automation grade:specification"" | ""oil extraction plant:product:specification"" | ""1000 liter:capacity:specification"" | ""400 v:voltage:specification"" | ""1 phase:phase:specification""]",,5,"Based on the training data and guidelines, here is the extraction for the query:

Query: ""labh group automatic oil extraction plant, 1000 liter, 400 v, 1 phase""

Output:
```python
[""labh group:brand:specification"", ""automatic:automation grade:specification"", ""oil extraction plant:product:specification"", ""1000 liter:capacity:specification"", ""400 v:voltage:specification"", ""1 phase:phase:specification""]
```"
False,industrial plastic extruder unique 10 tpd 380 v manual,0,[],,'NoneType' object has no attribute 'strip',6,
True,automatic mother baby extruder 400 v,4,"['automatic:automation grade:specification', 'mother baby:machine type:specification', 'extruder:product:specification', '400 v:voltage:specification']",automatic:automation grade:specification | mother baby:machine type:specification | extruder:product:specification | 400 v:voltage:specification,,7,"[""automatic:automation grade:specification"", ""mother baby:machine type:specification"", ""extruder:product:specification"", ""400 v:voltage:specification""]"
False,pvc foam extruder,0,[],,'NoneType' object has no attribute 'strip',8,
True,"prism make automatic solvent extraction plant, production capacity: 10 kg, voltage: 400 v, phase: three phase, material: pvc, power: 15 kw",8,"['""prism:brand:specification""', '""automatic:automation grade:specification""', '""solvent extraction plant:product:specification""', '""10 kg:capacity:specification""', '""400 v:voltage:specification""', '""three phase:phase:specification""', '""pvc:material:specification""', '""15 kw:power:specification""']","""prism:brand:specification"" | ""automatic:automation grade:specification"" | ""solvent extraction plant:product:specification"" | ""10 kg:capacity:specification"" | ""400 v:voltage:specification"" | ""three phase:phase:specification"" | ""pvc:material:specification"" | ""15 kw:power:specification""",,9,"Based on the provided query and training data, here is the extracted attribute list:

```python
[
    ""prism:brand:specification"",
    ""automatic:automation grade:specification"",
    ""solvent extraction plant:product:specification"",
    ""10 kg:capacity:specification"",
    ""400 v:voltage:specification"",
    ""three phase:phase:specification"",
    ""pvc:material:specification"",
    ""15 kw:power:specification""
]
```"
False,co-rotating twin screw extruder for agricultural 200 kg,0,[],,'NoneType' object has no attribute 'strip',10,
False,industrial bitumen extractor unique 5 ton 240 v manual,0,[],,'NoneType' object has no attribute 'strip',11,
False,sheet extruder with 5 hp power 440 v,0,[],,'NoneType' object has no attribute 'strip',12,
True,epe foam extruder with 10 hp power 240 v,4,"['[""epe foam:product type:specification""', '""extruder:machine type:specification""', '""10 hp:power:specification""', '""240 v:voltage:specification""]']","[""epe foam:product type:specification"" | ""extruder:machine type:specification"" | ""10 hp:power:specification"" | ""240 v:voltage:specification""]",,13,"Based on the patterns in the training data, here is the extracted attribute list:

```python
[""epe foam:product type:specification"", ""extruder:machine type:specification"", ""10 hp:power:specification"", ""240 v:voltage:specification""]
```"
False,5 tpd xlpe cable extruder hdpe body,0,[],,'NoneType' object has no attribute 'strip',14,
False,solvent extraction plant with 25 hp power 480 v,0,[],,'NoneType' object has no attribute 'strip',15,
False,"looking for manual oleoresin extraction plant with specifications: capacity 250 kg/hr, voltage 480 v, phase single phase, body material stainless steel, application agricultural",0,[],,'NoneType' object has no attribute 'strip',16,
False,"teknik automatic film extrusion machine machine with 500 tpd capacity, 230 v voltage, single phase, cast iron body, suitable for food processing",0,[],,'NoneType' object has no attribute 'strip',17,
False,hdpe body film extrusion machine with 10 kg/hr capacity and 240 v voltage,0,[],,'NoneType' object has no attribute 'strip',18,
False,"high quality semi-automatic aluminium extrusion plant conical type, 250 kg/hr, 240 v supply, single phase, hdpe body, swaraj brand for chemical industries",0,[],,'NoneType' object has no attribute 'strip',19,
True,500 tpd fully automatic extruder machine 480 v 1 phase pvc body,6,"['[""500 tpd:capacity:specification""', '""fully automatic:automation grade:specification""', '""extruder machine:product:specification""', '""480 v:voltage:specification""', '""1 phase:phase:specification""', '""pvc:body material:specification""]']","[""500 tpd:capacity:specification"" | ""fully automatic:automation grade:specification"" | ""extruder machine:product:specification"" | ""480 v:voltage:specification"" | ""1 phase:phase:specification"" | ""pvc:body material:specification""]",,20,"Here are the extracted attributes:

[""500 tpd:capacity:specification"", ""fully automatic:automation grade:specification"", ""extruder machine:product:specification"", ""480 v:voltage:specification"", ""1 phase:phase:specification"", ""pvc:body material:specification""]"
True,titanium body oleoresin extraction plant 500 ton,3,"['[""titanium:body material:specification""', '""oleoresin extraction plant:product:specification""', '""500 ton:capacity:specification""]']","[""titanium:body material:specification"" | ""oleoresin extraction plant:product:specification"" | ""500 ton:capacity:specification""]",,21,"Based on the patterns in the training data and the specific query, here is the extracted attribute list:

```python
[""titanium:body material:specification"", ""oleoresin extraction plant:product:specification"", ""500 ton:capacity:specification""]
```"
True,"eureka fully automatic ldpe blown film machine machine with 100 liter capacity, 380 v voltage, single phase, ss 304 body, suitable for research",9,"['eureka:brand:specification', 'fully automatic:automation grade:specification', 'ldpe:product type:specification', 'blown film machine:machine type:specification', '100 liter:capacity:specification', '380 v:voltage:specification', 'single phase:phase:specification', 'ss 304:body material:specification', 'research:usage/application:specification']",eureka:brand:specification | fully automatic:automation grade:specification | ldpe:product type:specification | blown film machine:machine type:specification | 100 liter:capacity:specification | 380 v:voltage:specification | single phase:phase:specification | ss 304:body material:specification | research:usage/application:specification,,22,"[""eureka:brand:specification"", ""fully automatic:automation grade:specification"", ""ldpe:product type:specification"", ""blown film machine:machine type:specification"", ""100 liter:capacity:specification"", ""380 v:voltage:specification"", ""single phase:phase:specification"", ""ss 304:body material:specification"", ""research:usage/application:specification""]"
False,30 kg 1 phase hdpe extruder,0,[],,'NoneType' object has no attribute 'strip',23,
True,5 kg 1 phase curcumin extraction plant,3,"['[""5 kg:capacity:specification""', '""1 phase:phase:specification""', '""curcumin extraction plant:product:specification""]']","[""5 kg:capacity:specification"" | ""1 phase:phase:specification"" | ""curcumin extraction plant:product:specification""]",,24,"Based on the patterns in the training data, here is the extracted attribute list:

```python
[""5 kg:capacity:specification"", ""1 phase:phase:specification"", ""curcumin extraction plant:product:specification""]
```"
True,monolayer extruder 240 v,3,"['monolayer:machine type:specification', 'extruder:product:specification', '240 v:voltage:specification']",monolayer:machine type:specification | extruder:product:specification | 240 v:voltage:specification,,25,"[""monolayer:machine type:specification"", ""extruder:product:specification"", ""240 v:voltage:specification""]"
True,multi layer extruder co-rotating design 200 kg/hr,4,"['multi layer:machine type:specification', 'extruder:product:specification', 'co-rotating:design:specification', '200 kg/hr:capacity:specification']",multi layer:machine type:specification | extruder:product:specification | co-rotating:design:specification | 200 kg/hr:capacity:specification,,26,"[""multi layer:machine type:specification"", ""extruder:product:specification"", ""co-rotating:design:specification"", ""200 kg/hr:capacity:specification""]"
False,"high quality automatic solvent extraction plant twin screw type, 1000 liter, 220 v supply, 1 phase, stainless steel body, labh group brand for packaging",0,[],,'NoneType' object has no attribute 'strip',27,
True,metal recovery plant for plastic processing 50 ton,3,"['metal recovery plant:product:specification', 'plastic processing:usage/application:specification', '50 ton:capacity:specification']",metal recovery plant:product:specification | plastic processing:usage/application:specification | 50 ton:capacity:specification,,28,"[""metal recovery plant:product:specification"", ""plastic processing:usage/application:specification"", ""50 ton:capacity:specification""]"
True,100 ton semi-automatic multi layer extruder,4,"['100 ton:capacity:specification', 'semi-automatic:automation grade:specification', 'multi layer:machine type:specification', 'extruder:product:specification']",100 ton:capacity:specification | semi-automatic:automation grade:specification | multi layer:machine type:specification | extruder:product:specification,,29,"[""100 ton:capacity:specification"", ""semi-automatic:automation grade:specification"", ""multi layer:machine type:specification"", ""extruder:product:specification""]"
True,basket extruder for pharmaceutical,2,"['basket extruder:product:specification', 'pharmaceutical:usage/application:specification']",basket extruder:product:specification | pharmaceutical:usage/application:specification,,30,"[""basket extruder:product:specification"", ""pharmaceutical:usage/application:specification""]"
True,labh group double die extruder 200 kg,4,"['[""labh group:brand:specification""', '""double die:design:specification""', '""extruder:product:specification""', '""200 kg:capacity:specification""]']","[""labh group:brand:specification"" | ""double die:design:specification"" | ""extruder:product:specification"" | ""200 kg:capacity:specification""]",,31,"Based on the patterns in the training data and the specific query ""labh group double die extruder 200 kg"", here is the extraction:

[""labh group:brand:specification"", ""double die:design:specification"", ""extruder:product:specification"", ""200 kg:capacity:specification""]"
False,industrial jockey extruder mahindra 500 kg/hr 240 v manual,0,[],,'NoneType' object has no attribute 'strip',32,
False,"semi-automatic ss wire extruder, capacity: 10 tpd, voltage: 440 v, phase: 1 phase",0,[],,'NoneType' object has no attribute 'strip',33,
False,"multi layer extruder - co-rotating design, 10 kg output, 440 v, three phase, cast iron construction, turbo brand, automatic operation",0,[],,'NoneType' object has no attribute 'strip',34,
False,"pvc extruder - parallel design, 200 kg/hr output, 480 v, single phase, stainless steel construction, turbo brand, semi-automatic operation",0,[],,'NoneType' object has no attribute 'strip',35,
True,100 tpd sheet extruder cast iron body,4,"['100 tpd:capacity:specification', 'sheet:product type:specification', 'extruder:machine type:specification', 'cast iron:body material:specification']",100 tpd:capacity:specification | sheet:product type:specification | extruder:machine type:specification | cast iron:body material:specification,,36,"[""100 tpd:capacity:specification"", ""sheet:product type:specification"", ""extruder:machine type:specification"", ""cast iron:body material:specification""]"
False,semi-automatic aluminium epe foam extruder,0,[],,'NoneType' object has no attribute 'strip',37,
False,cable extruder 480 v 50 hz,0,[],,'NoneType' object has no attribute 'strip',38,
True,ss co-rotating twin screw extruder,4,"['ss:body material:specification', 'co-rotating:screw type:specification', 'twin screw:design:specification', 'extruder:product:specification']",ss:body material:specification | co-rotating:screw type:specification | twin screw:design:specification | extruder:product:specification,,39,"[""ss:body material:specification"", ""co-rotating:screw type:specification"", ""twin screw:design:specification"", ""extruder:product:specification""]"
True,"looking for automatic film extrusion machine with specifications: capacity 100 tpd, voltage 400 v, phase 1 phase, body material ss, application plastic processing",7,"['""automatic:automation grade:specification""', '""film extrusion machine:product:specification""', '""100 tpd:capacity:specification""', '""400 v:voltage:specification""', '""1 phase:phase:specification""', '""ss:body material:specification""', '""plastic processing:usage/application:specification""']","""automatic:automation grade:specification"" | ""film extrusion machine:product:specification"" | ""100 tpd:capacity:specification"" | ""400 v:voltage:specification"" | ""1 phase:phase:specification"" | ""ss:body material:specification"" | ""plastic processing:usage/application:specification""",,40,"Based on the provided query and training data, here is the extracted attribute list:

```python
[
    ""automatic:automation grade:specification"",
    ""film extrusion machine:product:specification"",
    ""100 tpd:capacity:specification"",
    ""400 v:voltage:specification"",
    ""1 phase:phase:specification"",
    ""ss:body material:specification"",
    ""plastic processing:usage/application:specification""
]
```"
True,twin screw wpc extruder 10 kg/hr semi-automatic 415 v,6,"['twin screw:design:specification', 'wpc:product type:specification', 'extruder:product:specification', '10 kg/hr:capacity:specification', 'semi-automatic:automation grade:specification', '415 v:voltage:specification']",twin screw:design:specification | wpc:product type:specification | extruder:product:specification | 10 kg/hr:capacity:specification | semi-automatic:automation grade:specification | 415 v:voltage:specification,,41,"[""twin screw:design:specification"", ""wpc:product type:specification"", ""extruder:product:specification"", ""10 kg/hr:capacity:specification"", ""semi-automatic:automation grade:specification"", ""415 v:voltage:specification""]"
True,300 kg/hr manual copper extraction plant 380 v 1 phase pvc body,7,"['[""300 kg/hr:capacity:specification""', '""manual:automation grade:specification""', '""copper:material to be extruded:specification""', '""extraction plant:product:specification""', '""380 v:voltage:specification""', '""1 phase:phase:specification""', '""pvc:body material:specification""]']","[""300 kg/hr:capacity:specification"" | ""manual:automation grade:specification"" | ""copper:material to be extruded:specification"" | ""extraction plant:product:specification"" | ""380 v:voltage:specification"" | ""1 phase:phase:specification"" | ""pvc:body material:specification""]",,42,"Based on the patterns in the training data and the specific query, here is the extracted attribute list:

```python
[""300 kg/hr:capacity:specification"", ""manual:automation grade:specification"", ""copper:material to be extruded:specification"", ""extraction plant:product:specification"", ""380 v:voltage:specification"", ""1 phase:phase:specification"", ""pvc:body material:specification""]
```"
False,mahindra semi-automatic copper extraction plant,0,[],,'NoneType' object has no attribute 'strip',43,
True,"manual ss extruder machine, capacity: 200 liter, voltage: 480 v, phase: 1 phase",6,"['[""manual:automation grade:specification""', '""ss:body material:specification""', '""extruder machine:product:specification""', '""200 liter:capacity:specification""', '""480 v:voltage:specification""', '""1 phase:phase:specification""]']","[""manual:automation grade:specification"" | ""ss:body material:specification"" | ""extruder machine:product:specification"" | ""200 liter:capacity:specification"" | ""480 v:voltage:specification"" | ""1 phase:phase:specification""]",,44,"Based on the training data and extraction guidelines, here is the attribute extraction for the query:

Query: ""manual ss extruder machine, capacity: 200 liter, voltage: 480 v, phase: 1 phase""

Output:
```python
[""manual:automation grade:specification"", ""ss:body material:specification"", ""extruder machine:product:specification"", ""200 liter:capacity:specification"", ""480 v:voltage:specification"", ""1 phase:phase:specification""]
```"
True,20 tpd manual blown film extrusion machine,4,"['20 tpd:capacity:specification', 'manual:automation grade:specification', 'blown film:machine type:specification', 'extrusion machine:product:specification']",20 tpd:capacity:specification | manual:automation grade:specification | blown film:machine type:specification | extrusion machine:product:specification,,45,"[""20 tpd:capacity:specification"", ""manual:automation grade:specification"", ""blown film:machine type:specification"", ""extrusion machine:product:specification""]"
False,fully automatic foam extruder 220 v,0,[],,'NoneType' object has no attribute 'strip',46,
False,"mother baby extruder for packaging use, 50 ton, 220 v, turbo brand",0,[],,'NoneType' object has no attribute 'strip',47,
False,ss 304 body centrifuge extractor with 300 kg/hr capacity and 415 v voltage,0,[],,'NoneType' object has no attribute 'strip',48,
