query,success,unique_value_count,total_key_count,raw_output,attributes_json,input_tokens,output_tokens,cost
Cooler Motor,True,1,3,"{""attributes"":[{""attribute_key"":""application"",""value"":""cooler motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""cooler motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""use"",""value"":""cooler motor"",""key_priority"":3,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""application"", ""value"": ""cooler motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""cooler motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""use"", ""value"": ""cooler motor"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2456,166,$0.001477
Actuators,True,1,2,"{""attributes"":[{""attribute_key"":""category"",""value"":""Actuators"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""Actuators"",""key_priority"":2,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""category"", ""value"": ""Actuators"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""Actuators"", ""key_priority"": 2, ""attribute_priority"": 1}]}",2457,154,$0.001460
130 Flat Motor,True,2,4,"{""attributes"":[{""attribute_key"":""model"",""value"":""130"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""size"",""value"":""130"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""flat motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""shape"",""value"":""flat motor"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""model"", ""value"": ""130"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""size"", ""value"": ""130"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""flat motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""shape"", ""value"": ""flat motor"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2460,198,$0.001527
ap fan motor & fresh air moter,True,2,4,"{""attributes"":[{""attribute_key"":""application"",""value"":""ap fan motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""use"",""value"":""ap fan motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""application"",""value"":""fresh air motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""use"",""value"":""fresh air motor"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""application"", ""value"": ""ap fan motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""use"", ""value"": ""ap fan motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""fresh air motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""fresh air motor"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2462,2634,$0.005182
a.c. induction motor,True,2,4,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""a.c. induction motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""induction_motor"",""value"":""a.c. induction motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""current_type"",""value"":""a.c."",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""phase_type"",""value"":""a.c."",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""a.c. induction motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""induction_motor"", ""value"": ""a.c. induction motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""current_type"", ""value"": ""a.c."", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""phase_type"", ""value"": ""a.c."", ""key_priority"": 2, ""attribute_priority"": 2}]}",2460,2993,$0.005720
Siemens Sipart Ps2 Positioner Model 6dr5,True,4,8,"{""attributes"":[{""attribute_key"":""brand"",""value"":""siemens"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""siemens"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""series"",""value"":""sipart ps2"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""product_family"",""value"":""sipart ps2"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""product_type"",""value"":""positioner"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""type"",""value"":""positioner"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""model"",""value"":""6dr5"",""key_priority"":1,""attribute_priority"":4},{""attribute_key"":""model_number"",""value"":""6dr5"",""key_priority"":2,""attribute_priority"":4}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""series"", ""value"": ""sipart ps2"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_family"", ""value"": ""sipart ps2"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""product_type"", ""value"": ""positioner"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""type"", ""value"": ""positioner"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""model"", ""value"": ""6dr5"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""model_number"", ""value"": ""6dr5"", ""key_priority"": 2, ""attribute_priority"": 4}]}",2466,300,$0.001683
Ac Outdoor Fan Motor,True,2,4,"{""attributes"":[{""attribute_key"":""application"",""value"":""ac outdoor fan"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""use"",""value"":""ac outdoor fan"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""component"",""value"":""fan motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""fan motor"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""application"", ""value"": ""ac outdoor fan"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""use"", ""value"": ""ac outdoor fan"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""component"", ""value"": ""fan motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""fan motor"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2458,203,$0.001534
siemens-electric-motors,True,2,5,"{""attributes"":[{""attribute_key"":""brand"",""value"":""siemens"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""siemens"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""siemens"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""category"",""value"":""electric motors"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""product_type"",""value"":""electric motors"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""category"", ""value"": ""electric motors"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_type"", ""value"": ""electric motors"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2460,233,$0.001579
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,5,11,"```json
{""attributes"":[{""attribute_key"":""brand"",""value"":""SIEMENS"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""SIEMENS"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""series"",""value"":""SIMOTICS S-1FK2"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""product_family"",""value"":""SIMOTICS S-1FK2"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""SERVO MOTOR"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""type"",""value"":""SERVO MOTOR"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""part_number"",""value"":""1FK2104-6AF01-1MB0"",""key_priority"":1,""attribute_priority"":4},{""attribute_key"":""model_number"",""value"":""1FK2104-6AF01-1MB0"",""key_priority"":2,""attribute_priority"":4},{""attribute_key"":""power"",""value"":""1 kW"",""key_priority"":1,""attribute_priority"":5},{""attribute_key"":""wattage"",""value"":""1 kW"",""key_priority"":2,""attribute_priority"":5},{""attribute_key"":""kilowatt"",""value"":""1 kW"",""key_priority"":3,""attribute_priority"":5}]}
```","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""SIEMENS"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""SIEMENS"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""series"", ""value"": ""SIMOTICS S-1FK2"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_family"", ""value"": ""SIMOTICS S-1FK2"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""SERVO MOTOR"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""type"", ""value"": ""SERVO MOTOR"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""part_number"", ""value"": ""1FK2104-6AF01-1MB0"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""model_number"", ""value"": ""1FK2104-6AF01-1MB0"", ""key_priority"": 2, ""attribute_priority"": 4}, {""attribute_key"": ""power"", ""value"": ""1 kW"", ""key_priority"": 1, ""attribute_priority"": 5}, {""attribute_key"": ""wattage"", ""value"": ""1 kW"", ""key_priority"": 2, ""attribute_priority"": 5}, {""attribute_key"": ""kilowatt"", ""value"": ""1 kW"", ""key_priority"": 3, ""attribute_priority"": 5}]}",2491,453,$0.001925
yako tech ms s3,True,3,6,"{""attributes"":[{""attribute_key"":""brand"",""value"":""yako tech"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""yako tech"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""series"",""value"":""ms"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""model_series"",""value"":""ms"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""model"",""value"":""s3"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""part_number"",""value"":""s3"",""key_priority"":2,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""yako tech"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""yako tech"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""series"", ""value"": ""ms"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""model_series"", ""value"": ""ms"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""model"", ""value"": ""s3"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""part_number"", ""value"": ""s3"", ""key_priority"": 2, ""attribute_priority"": 3}]}",2459,248,$0.001602
