success,query,gemini_dataset_attr_count,gemini_dataset_isq_list,gemini_dataset_isq_pipe,gemini_dataset_raw_output,error
True,Blown Film Extrusion Machine,0,[],,[],
True,sheet extruder machine,0,[],,"```python
[]
```",
True,centrufuge Extractor For Textile Mills,0,[],,[],
True,Gold Refinery Plant,0,[],,[],
True,Extruder Machine,0,[],,[],
True,Solvent Extraction Plant,0,[],,[],
True,lab extruder,0,[],,[],
True,plastic sheet plant near ahmedabad,0,[],,"```python
[]
```",
True,Aluminium Extrusion Plant Consultant,0,[],,[],
True,sheet extruder,0,[],,[],
True,aluminium-extrusion-plant,1,['aluminium extrusion:usage/application:specification'],aluminium extrusion:usage/application:specification,"[""aluminium extrusion:usage/application:specification""]",
True,Silver Refinery Plant,0,[],,"```python
[]
```",
True,ilko aluminium manufactur where the plant,0,[],,[],
False,"ilko aluminium manufactur, where the plant",0,[],,,HTTP 429
True,ultrasonic herbal extraction machine,0,[],,"```python
[]
```",
True,Gold Refining plant Scale Model,0,[],,"```python
[]
```",
True,Gold Refineing Machine Scale Model,0,[],,"```python
[]
```",
True,zone refining,0,[],,"```python
[]
```",
True,twin-screw-extruder,2,"['twin screw:screw design:specification', 'twin screw:type of extruder:specification']",twin screw:screw design:specification | twin screw:type of extruder:specification,"[""twin screw:screw design:specification"", ""twin screw:type of extruder:specification""]",
True,Imported Oak Moss Lichen,0,[],,"```python
[]
```",
True,tclp extractor,0,[],,[],
True,ricebran esterification plant,0,[],,[],
False,gold-refining-plant,0,[],,,HTTP 429
True,ld extruder machine,3,"['ld:plastic processed:specification', 'extruder:plastic processed:specification', 'machine:product type:specification']",ld:plastic processed:specification | extruder:plastic processed:specification | machine:product type:specification,"[""ld:plastic processed:specification"", ""extruder:plastic processed:specification"", ""machine:product type:specification""]",
True,65mm ld extruder machine,2,"['65 mm:size:specification', 'ld:plastic processed:specification']",65 mm:size:specification | ld:plastic processed:specification,"[""65 mm:size:specification"", ""ld:plastic processed:specification""]",
True,Solvent Extraction Plant Equipment,0,[],,[],
True,lab scale twin screw extruder,2,"['twin screw:screw design:specification', 'lab:industry type:specification']",twin screw:screw design:specification | lab:industry type:specification,"[""twin screw:screw design:specification"", ""lab:industry type:specification""]",
True,Silver Refining Plant,6,"['[""silver refining plant:usage/application:specification""', '""silver refining plant:heating range:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:material:specification""', '""silver refining plant:product type:specification""', '""silver refining plant:packaging type:specification""]']","[""silver refining plant:usage/application:specification"" | ""silver refining plant:heating range:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:material:specification"" | ""silver refining plant:product type:specification"" | ""silver refining plant:packaging type:specification""]","```python
[""silver refining plant:usage/application:specification"", ""silver refining plant:heating range:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:material:specification"", ""silver refining plant:product type:specification"", ""silver refining plant:packaging type:specification""]
```",
True,Rice Bran Oil Extraction Plant and Machinery,2,"['electric:power source:specification', 'herbal extraction:usage/application:specification']",electric:power source:specification | herbal extraction:usage/application:specification,"[""electric:power source:specification"", ""herbal extraction:usage/application:specification""]",
True,twin screw extruder 50 kg/hr extruder machine,2,"['[""twin screw:type:specification""', '""50 kg/hr:production capacity:specification""]']","[""twin screw:type:specification"" | ""50 kg/hr:production capacity:specification""]","```python
[""twin screw:type:specification"", ""50 kg/hr:production capacity:specification""]
```",
True,gold refining machine,3,"['gold:metal:specification', 'gold refining:usage/application:specification', 'gold refining:product type:specification']",gold:metal:specification | gold refining:usage/application:specification | gold refining:product type:specification,"[""gold:metal:specification"", ""gold refining:usage/application:specification"", ""gold refining:product type:specification""]",
True,co rotating twin screw extruders,2,"['co rotating:screw design:specification', 'twin screw:type of extruder:specification']",co rotating:screw design:specification | twin screw:type of extruder:specification,"[""co rotating:screw design:specification"", ""twin screw:type of extruder:specification""]",
