success,query,gemini_attr_count,gemini_isq_list,gemini_isq_pipe,error
False,assam tea 500 gm pack,0,[],,HTTP 400
False,premium assam tea loose leaf,0,[],,HTTP 400
False,organic assam tea black tea,0,[],,HTTP 400
False,assam tea gift box 1 kg,0,[],,HTTP 400
False,best quality assam tea online,0,[],,HTTP 400
False,assam tea ctc grade,0,[],,HTTP 400
False,assam tea green pack 250 gm,0,[],,HTTP 400
False,assam tea with cardamom flavor,0,[],,HTTP 400
False,assam tea premium blend,0,[],,HTTP 400
False,assam tea wholesale price,0,[],,HTTP 400
False,mango bags jute material,0,[],,HTTP 400
False,mango bags for storage,0,[],,HTTP 400
False,mango bags plastic 5 kg capacity,0,[],,HTTP 400
False,eco friendly mango bags,0,[],,HTTP 400
False,printed mango bags wholesale,0,[],,HTTP 400
False,mango bags with handles,0,[],,HTTP 400
False,mango bags net type,0,[],,HTTP 400
False,mango bags paper material,0,[],,HTTP 400
False,mango bags exporters,0,[],,HTTP 400
False,reusable mango bags set of 10,0,[],,HTTP 400
False,kerala cotton saree white,0,[],,HTTP 400
False,kerala cotton saree with gold border,0,[],,HTTP 400
False,kerala cotton saree kasavu,0,[],,HTTP 400
False,kerala cotton saree for wedding,0,[],,HTTP 400
False,kerala cotton saree set mundu,0,[],,HTTP 400
False,kerala cotton saree traditional,0,[],,HTTP 400
False,kerala cotton saree handloom,0,[],,HTTP 400
False,kerala cotton saree plain,0,[],,HTTP 400
False,pure kerala cotton saree,0,[],,HTTP 400
False,kerala cotton saree with blouse,0,[],,HTTP 400
False,kerala saree silk blend,0,[],,HTTP 400
False,kerala saree onam special,0,[],,HTTP 400
False,kerala saree cream color,0,[],,HTTP 400
False,kerala saree with temple border,0,[],,HTTP 400
False,kerala saree festive collection,0,[],,HTTP 400
False,kerala saree women traditional,0,[],,HTTP 400
False,kerala saree set with blouse,0,[],,HTTP 400
False,kerala saree kasavu golden,0,[],,HTTP 400
False,kerala saree mundu style,0,[],,HTTP 400
False,kerala saree off white,0,[],,HTTP 400
False,gota lace border,0,[],,HTTP 400
False,gota lace golden color,0,[],,HTTP 400
False,gota lace for saree,0,[],,HTTP 400
False,gota lace 2 inch width,0,[],,HTTP 400
False,gota lace wholesale,0,[],,HTTP 400
False,gota lace silver shade,0,[],,HTTP 400
False,gota lace embroidery,0,[],,HTTP 400
False,gota lace designer,0,[],,HTTP 400
False,gota lace traditional,0,[],,HTTP 400
False,gota lace patti work,0,[],,HTTP 400
False,cow beef banned item,0,[],,HTTP 400
False,beef cow not allowed,0,[],,HTTP 400
False,cow beef restricted product,0,[],,HTTP 400
False,beef cow search blocked,0,[],,HTTP 400
False,cow beef illegal item,0,[],,HTTP 400
False,beef cow prohibited,0,[],,HTTP 400
False,cow beef not permitted,0,[],,HTTP 400
False,beef cow banned search,0,[],,HTTP 400
False,cow beef restricted search,0,[],,HTTP 400
False,beef cow blocked item,0,[],,HTTP 400
False,dog labrador puppy,0,[],,HTTP 400
False,labrador dog breed,0,[],,HTTP 400
False,dog labrador retriever,0,[],,HTTP 400
False,labrador dog golden color,0,[],,HTTP 400
False,dog labrador training,0,[],,HTTP 400
False,labrador dog food,0,[],,HTTP 400
False,dog labrador accessories,0,[],,HTTP 400
False,labrador dog collar,0,[],,HTTP 400
False,dog labrador toys,0,[],,HTTP 400
False,labrador dog sale,0,[],,HTTP 400
False,vim bar 500 gm,0,[],,HTTP 400
False,vim liquid dishwash,0,[],,HTTP 400
False,vim bar lemon,0,[],,HTTP 400
False,vim gel bottle,0,[],,HTTP 400
False,vim powder pack,0,[],,HTTP 400
False,vim bar multipack,0,[],,HTTP 400
False,vim liquid 750 ml,0,[],,HTTP 400
False,vim bar green,0,[],,HTTP 400
False,vim dishwash bar,0,[],,HTTP 400
False,vim cleaning bar,0,[],,HTTP 400
False,radhe radhe tshirt,0,[],,HTTP 400
False,radhe radhe printed kurta,0,[],,HTTP 400
False,radhe radhe wall hanging,0,[],,HTTP 400
False,radhe radhe gift item,0,[],,HTTP 400
False,radhe radhe poster,0,[],,HTTP 400
False,radhe radhe mug print,0,[],,HTTP 400
False,radhe radhe pendant,0,[],,HTTP 400
False,radhe radhe sticker,0,[],,HTTP 400
False,radhe radhe cushion cover,0,[],,HTTP 400
False,radhe radhe keychain,0,[],,HTTP 400
False,assam tea premium 1 kg box organic,0,[],,HTTP 400
False,kerala cotton saree white gold border handloom,0,[],,HTTP 400
False,mango bags jute eco friendly large size,0,[],,HTTP 400
False,gota lace golden 3 inch designer border,0,[],,HTTP 400
False,vim bar lemon 200 gm pack of 3,0,[],,HTTP 400
False,radhe radhe printed cotton tshirt men,0,[],,HTTP 400
False,kerala saree traditional kasavu wedding special,0,[],,HTTP 400
False,assam tea ctc dust grade 500 gm,0,[],,HTTP 400
False,gota lace embroidery silver patti,0,[],,HTTP 400
False,radhe radhe wooden wall frame decorative,0,[],,HTTP 400
