success,query,gemini_attr_count,gemini_isq_list,gemini_isq_pipe,gemini_raw_output
True,Blown Film Extrusion Machine,2,"['film:usage:specification', 'extrusion:machine type:specification']",film:usage:specification | extrusion:machine type:specification,"[""film:usage:specification"", ""extrusion:machine type:specification""]"
True,sheet extruder machine,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,centrufuge Extractor For Textile Mills,2,"['extractor:product:specification', 'textile mills:usage:specification']",extractor:product:specification | textile mills:usage:specification,"[""extractor:product:specification"", ""textile mills:usage:specification""]"
True,Gold Refinery Plant,2,"['gold:usage:specification', 'refinery:type:specification']",gold:usage:specification | refinery:type:specification,"[""gold:usage:specification"", ""refinery:type:specification""]"
True,Extruder Machine,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,Solvent Extraction Plant,1,['solvent extraction:usage:specification'],solvent extraction:usage:specification,"[""solvent extraction:usage:specification""]"
True,lab extruder,2,"['extruder:type:specification', 'lab:usage:specification']",extruder:type:specification | lab:usage:specification,"[""extruder:type:specification"", ""lab:usage:specification""]"
True,plastic sheet plant near ahmedabad,1,['plastic:material:specification'],plastic:material:specification,"[""plastic:material:specification""]"
True,Aluminium Extrusion Plant Consultant,2,"['aluminium:material:specification', 'extrusion:machine type:specification']",aluminium:material:specification | extrusion:machine type:specification,"[""aluminium:material:specification"", ""extrusion:machine type:specification""]"
True,sheet extruder,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,aluminium-extrusion-plant,2,"['aluminium:material:specification', 'extrusion:machine type:specification']",aluminium:material:specification | extrusion:machine type:specification,"[""aluminium:material:specification"", ""extrusion:machine type:specification""]"
True,Silver Refinery Plant,2,"['silver:usage:specification', 'refinery:type:specification']",silver:usage:specification | refinery:type:specification,"[""silver:usage:specification"", ""refinery:type:specification""]"
True,ilko aluminium manufactur where the plant,1,['aluminium:material:specification'],aluminium:material:specification,"[""aluminium:material:specification""]"
True,"ilko aluminium manufactur, where the plant",1,['aluminium:material:specification'],aluminium:material:specification,"[""aluminium:material:specification""]"
True,ultrasonic herbal extraction machine,3,"['ultrasonic:technology:specification', 'herbal:usage:specification', 'extraction:type:specification']",ultrasonic:technology:specification | herbal:usage:specification | extraction:type:specification,"[""ultrasonic:technology:specification"", ""herbal:usage:specification"", ""extraction:type:specification""]"
True,Gold Refining plant Scale Model,2,"['gold refining:usage:specification', 'scale model:type:specification']",gold refining:usage:specification | scale model:type:specification,"[""gold refining:usage:specification"", ""scale model:type:specification""]"
True,Gold Refineing Machine Scale Model,3,"['gold:usage:specification', 'refineing:type:specification', 'scale model:type:specification']",gold:usage:specification | refineing:type:specification | scale model:type:specification,"[""gold:usage:specification"", ""refineing:type:specification"", ""scale model:type:specification""]"
True,zone refining,1,['refining:type:specification'],refining:type:specification,"[""refining:type:specification""]"
True,twin-screw-extruder,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,Imported Oak Moss Lichen,1,['oak moss lichen:material:specification'],oak moss lichen:material:specification,"[""oak moss lichen:material:specification""]"
True,tclp extractor,1,['extractor:type:specification'],extractor:type:specification,"[""extractor:type:specification""]"
