Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
0.25 HP 1440RPM  Ft  Single Phase Double Shaft Motor,0,0,0,3,0,3,N/A,N/A,,0.25 hp - motor hp |||| 1440rpm - full load rpm |||| single phase - phase,,,,full load rpm | motor hp | phase
0.25HP Single Phase Electric Motor,0,2,8,3,2,3,0.0%,100.0%,0.25HP - horsepower | horse_power | hp | motor_horsepower |||| Single Phase - phase | phase_type | number_of_phase | input_phase,0.25hp - power |||| electric motor - product |||| single phase - no of phase,,0.25hp | single phase,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase | phase type,no of phase | power | product
0.5 hp motor,0,1,4,2,1,2,0.0%,100.0%,0.5 HP - horsepower | horse_power | hp | motor_horsepower,0.5 hp - power |||| motor - part type,,0.5 hp,horse power | horsepower | hp | motor horsepower,part type | power
0.75 KW Godrej 1158 1HP Electric Motor,2,4,16,5,4,5,12.5%,100.0%,Electric - power_source | power_supply | power_type | input_power |||| Godrej - brand | company | manufacturer | make |||| 1158 - model_number | model_name | model | model_no |||| 0.75 KW - capacity | load_capacity | weight_capacity | lifting_capacity,1158 - model name/number |||| 0.75 kw - power |||| 1hp - horsepower |||| electric - power source |||| godrej - brand,brand | power source,0.75 kw | 1158 | electric | godrej,capacity | company | input power | lifting capacity | load capacity | make | manufacturer | model | model name | model no | model number | power supply | power type | weight capacity,horsepower | model name/number | power
0502 exhaust fan motor,1,1,8,2,2,2,12.5%,50.0%,0502 - model_number | model_name | model | model_no |||| Exhaust Fan Motor - model_type | model_category | model_class | model_range,0502 - model number |||| exhaust fan - usage,model number,0502,model | model category | model class | model name | model no | model range | model type,usage
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,2,1,17,3,5,3,11.8%,20.0%,12V DC - power_source | power_supply | power_type | voltage |||| 10000rpm - speed | rpm | motor_speed | rated_speed |||| 1 2 HP - horsepower | horse_power | hp |||| RS775 - size | dimension | frame_size |||| 775 - ambient_temperature | operating_temperature | temperature_range,10000rpm - speed |||| 12 v - voltage |||| dc - motor type,speed | voltage,10000rpm,ambient temperature | dimension | frame size | horse power | horsepower | hp | motor speed | operating temperature | power source | power supply | power type | rated speed | rpm | size | temperature range,motor type
1 HP Impel VGGH25 Electric Motor,1,3,12,3,3,3,8.3%,100.0%,1 HP - horsepower | horse_power | hp | motor_horsepower |||| Impel - brand | company | manufacturer | make |||| VGGH25 - model_number | model_name | model | model_no,1 hp - power |||| impel - brand |||| vggh25 - model name/number,brand,1 hp | impel | vggh25,company | horse power | horsepower | hp | make | manufacturer | model | model name | model no | model number | motor horsepower,model name/number | power
1 HP Texmo Taro Single Phase Motor Starter,1,3,12,4,3,4,8.3%,100.0%,Single Phase - power_source | power_supply | power_type | power_requirement |||| Texmo Taro - brand | company | manufacturer | make |||| 1 HP - capacity | load_capacity | weight_capacity | lifting_capacity,1 hp - power |||| motor starter - usage |||| single phase - phase |||| texmo taro - brand,brand,1 hp | single phase | texmo taro,capacity | company | lifting capacity | load capacity | make | manufacturer | power requirement | power source | power supply | power type | weight capacity,phase | power | usage
1 Inch Kit Cooler Motor,0,0,6,1,2,1,0.0%,0.0%,1 Inch - diameter | shaft_diameter | inner_diameter |||| Kit Cooler Motor - type | motor_type | product_type,cooler motor - usage,,,diameter | inner diameter | motor type | product type | shaft diameter | type,usage
1 fan motor,0,0,3,1,1,1,0.0%,0.0%,1 - number_of_poles | no_of_poles | poles,motor - part type,,,no of poles | number of poles | poles,part type
