Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
0.25 HP 1440RPM  Ft  Single Phase Double Shaft Motor,0,0,12,0,5,0,0.0%,0.0%,motor - motor_type | product_type |||| 0.25 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed |||| dual shaft - shaft_type | shaft,,,,horsepower | hp | motor type | phase | power | product type | rated speed | rpm | shaft | shaft type | speed | supply phase,
0.25HP Single Phase Electric Motor,5,1,7,7,3,3,71.4%,33.3%,motor - motor_type | product_type |||| 0.25 hp - power | horsepower | hp |||| single phase - phase | supply_phase,0.25HP - horsepower | power | hp |||| Single Phase - phase | phase_type |||| Electric Motor - motor_type | type,horsepower | hp | motor type | phase | power,single phase,product type | supply phase,phase type | type
0.37 KW 0.5 HP Bharat Bijlee Electric Motor,9,3,10,9,4,4,90.0%,75.0%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp |||| 0.37 kw - power | kilowatt | wattage,0.37 KW - power | wattage | kilowatt |||| 0.5 HP - horsepower | hp |||| Bharat Bijlee - brand | manufacturer |||| Electric Motor - product_type | motor_type,brand | horsepower | hp | kilowatt | manufacturer | motor type | power | product type | wattage,0.37 kw | 0.5 hp | bharat bijlee,company,
0.5 hp motor,4,2,5,4,2,2,80.0%,100.0%,motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp,0.5 hp - horsepower | power | hp |||| motor - motor_type,horsepower | hp | motor type | power,0.5 hp | motor,product type,
0.75 KW Godrej 1158 1HP Electric Motor,8,2,10,11,4,5,80.0%,50.0%,godrej - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 0.75 kw - power | kilowatt | wattage,0.75 KW - power | wattage | kilowatt |||| Godrej - brand | manufacturer |||| 1158 - model | model_number |||| 1HP - horsepower | hp |||| Electric Motor - motor_type | type,brand | horsepower | hp | kilowatt | manufacturer | motor type | power | wattage,0.75 kw | godrej,company | product type,model | model number | type
0502 exhaust fan motor,3,0,4,5,3,3,75.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,0502 - model_number | part_number |||| exhaust fan - application | use |||| motor - motor_type,application | motor type | use,,product type,model number | part number
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,6,1,12,10,5,6,50.0%,20.0%,dc motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| 12v - voltage | supply_voltage |||| 10000 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,1 2 hp - horsepower | power |||| 775 - model | series |||| 12 v - voltage | volt |||| rs775 - model_number |||| 10000rpm - rpm | speed |||| dc motor - motor_type,horsepower | motor type | power | rpm | speed | voltage,dc motor,current type | hp | product type | rated speed | supply type | supply voltage,model | model number | series | volt
1 HP Impel VGGH25 Electric Motor,4,1,5,9,2,4,80.0%,50.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 HP - horsepower | power | hp |||| Impel - brand | manufacturer |||| VGGH25 - model | part_number |||| Electric Motor - motor_type | type,horsepower | hp | motor type | power,1 hp,product type,brand | manufacturer | model | part number | type
1 HP Texmo Taro Single Phase Motor Starter,7,2,12,9,5,4,58.3%,40.0%,texmo - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| starter - application | use,1 HP - power | horsepower | hp |||| Texmo Taro - brand | manufacturer |||| Single Phase - phase | phase_type |||| Motor Starter - product_type | type,brand | horsepower | hp | manufacturer | phase | power | product type,1 hp | single phase,application | company | motor type | supply phase | use,phase type | type
1 Inch Kit Cooler Motor,2,1,4,5,2,3,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,1 inch - size | stack_height |||| kit - type |||| cooler motor - application | use,application | use,cooler motor,motor type | product type,size | stack height | type
