query,gt_success,gemma_success,gt_total_keys,gt_unique_values,gemma_total_keys,gemma_unique_values,matched_key_count,matched_value_count,gt_only_key_count,gemma_only_key_count,key_match_rate,value_match_rate,perfect_match_count,partial_match_count,matched_keys,gt_only_keys,gemma_only_keys,matched_values,key_match_details_json,value_match_details_json,priority_alignment_json
0.25 HP 1440RPM  Ft  Single Phase Double Shaft Motor,True,False,12,5,0,0,0,0,12,0,0.00%,0.00%,0,0,,motor type; product type; supply phase; phase; shaft type; rated speed; hp; speed; horsepower; shaft; power; rpm,,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
0.25HP Single Phase Electric Motor,True,True,7,3,8,2,3,1,4,5,42.86%,33.33%,0,1,phase; horsepower; hp,power; motor type; product type; supply phase,phase type; number of phase; input phase; horse power; motor horsepower,single phase,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""single phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""phase"", ""gemma_value"": ""Single Phase"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""0.25 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""0.25HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""0.25 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""0.25HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""single phase"", ""gt_original"": ""single phase"", ""gemma_original"": ""Single Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""gemma_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""phase_type"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""number_of_phase"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""input_phase"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""phase"", ""value"": ""single phase"", ""gt_priorities"": ""key_prio=1, attr_prio=3"", ""gemma_priorities"": ""key_prio=1, attr_prio=2""}]}"
0.37 KW 0.5 HP Bharat Bijlee Electric Motor,True,True,11,4,10,3,5,1,5,5,50.00%,25.00%,0,3,power; manufacturer; company; wattage; brand,motor type; product type; hp; horsepower; kilowatt,make; motor power; power source; power supply; power type,bharat bijlee,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""0.5 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""power"", ""gemma_value"": ""0.37 KW 0.5 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""0.37 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""gemma_key"": ""power"", ""gemma_value"": ""0.37 KW 0.5 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""bharat bijlee"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Bharat Bijlee"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""bharat bijlee"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Bharat Bijlee"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""wattage"", ""gt_key"": ""wattage"", ""gt_value"": ""0.37 kw"", ""gt_key_priority"": 3, ""gt_attr_priority"": 4, ""gemma_key"": ""wattage"", ""gemma_value"": ""0.37 KW 0.5 HP"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""bharat bijlee"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Bharat Bijlee"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""bharat bijlee"", ""gt_original"": ""bharat bijlee"", ""gemma_original"": ""Bharat Bijlee"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""company"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""manufacturer"", ""key_priority"": 3, ""attr_priority"": 3}, {""key"": ""make"", ""key_priority"": 4, ""attr_priority"": 3}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""manufacturer"", ""value"": ""bharat bijlee"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=3""}, {""key"": ""company"", ""value"": ""bharat bijlee"", ""gt_priorities"": ""key_prio=3, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=3""}, {""key"": ""brand"", ""value"": ""bharat bijlee"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=1, attr_prio=3""}]}"
0.5 hp motor,True,True,5,2,4,1,2,1,3,2,40.00%,50.00%,0,2,horsepower; hp,power; motor type; product type,motor horsepower; horse power,0.5 hp,"[{""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""0.5 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""0.5 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""0.5 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""0.5 HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""0.5 hp"", ""gt_original"": ""0.5 hp"", ""gemma_original"": ""0.5 HP"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""horsepower"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""horse_power"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""motor_horsepower"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""horsepower"", ""value"": ""0.5 hp"", ""gt_priorities"": ""key_prio=2, attr_prio=2"", ""gemma_priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""hp"", ""value"": ""0.5 hp"", ""gt_priorities"": ""key_prio=3, attr_prio=2"", ""gemma_priorities"": ""key_prio=3, attr_prio=1""}]}"
0.75 KW Godrej 1158 1HP Electric Motor,True,True,11,4,16,4,3,2,7,13,30.00%,50.00%,0,3,brand; manufacturer; company,motor type; product type; kilowatt; hp; wattage; power; horsepower,make; lifting capacity; input power; weight capacity; model name; power source; model; power supply; capacity; model number; model no; load capacity; power type,godrej; 0.75 kw,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""godrej"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Godrej"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""godrej"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Godrej"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""godrej"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Godrej"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""godrej"", ""gt_original"": ""godrej"", ""gemma_original"": ""Godrej"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""company"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""manufacturer"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""make"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}, {""value"": ""0.75 kw"", ""gt_original"": ""0.75 kw"", ""gemma_original"": ""0.75 KW"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 4}], ""gemma_keys"": [{""key"": ""capacity"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""load_capacity"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""weight_capacity"", ""key_priority"": 3, ""attr_priority"": 4}, {""key"": ""lifting_capacity"", ""key_priority"": 4, ""attr_priority"": 4}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""brand"", ""value"": ""godrej"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=1, attr_prio=2""}, {""key"": ""manufacturer"", ""value"": ""godrej"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=2""}, {""key"": ""company"", ""value"": ""godrej"", ""gt_priorities"": ""key_prio=3, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}]}"
0502 exhaust fan motor,True,True,6,3,8,2,0,0,4,8,0.00%,0.00%,0,0,,use; application; motor type; product type,model name; model category; model class; model; model type; model range; model number; model no,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,True,True,12,5,17,5,6,0,6,11,50.00%,0.00%,0,0,voltage; rated speed; speed; hp; horsepower; rpm,motor type; product type; supply type; supply voltage; current type; power,size; ambient temperature; power source; power supply; horse power; temperature range; motor speed; operating temperature; frame size; dimension; power type,,"[{""normalized_key"": ""voltage"", ""gt_key"": ""voltage"", ""gt_value"": ""12v"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""voltage"", ""gemma_value"": ""12V DC"", ""gemma_key_priority"": 4, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""rated speed"", ""gt_key"": ""rated_speed"", ""gt_value"": ""10000 rpm"", ""gt_key_priority"": 3, ""gt_attr_priority"": 4, ""gemma_key"": ""rated_speed"", ""gemma_value"": ""10000rpm"", ""gemma_key_priority"": 4, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""speed"", ""gt_key"": ""speed"", ""gt_value"": ""10000 rpm"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""gemma_key"": ""speed"", ""gemma_value"": ""10000rpm"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""2 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""1 2 HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 3, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""2 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""1 2 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 3, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""rpm"", ""gt_key"": ""rpm"", ""gt_value"": ""10000 rpm"", ""gt_key_priority"": 2, ""gt_attr_priority"": 4, ""gemma_key"": ""rpm"", ""gemma_value"": ""10000rpm"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
1 HP Impel VGGH25 Electric Motor,True,True,5,2,12,3,2,1,3,10,40.00%,50.00%,0,2,horsepower; hp,power; motor type; product type,make; model name; model; horse power; motor horsepower; manufacturer; model number; company; model no; brand,1 hp,"[{""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""1 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""1 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""1 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""1 HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""1 hp"", ""gt_original"": ""1 hp"", ""gemma_original"": ""1 HP"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""horsepower"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""horse_power"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""motor_horsepower"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""horsepower"", ""value"": ""1 hp"", ""gt_priorities"": ""key_prio=2, attr_prio=2"", ""gemma_priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""hp"", ""value"": ""1 hp"", ""gt_priorities"": ""key_prio=3, attr_prio=2"", ""gemma_priorities"": ""key_prio=3, attr_prio=1""}]}"
1 HP Texmo Taro Single Phase Motor Starter,True,True,12,5,12,3,3,2,9,9,25.00%,40.00%,0,0,brand; manufacturer; company,use; application; motor type; product type; supply phase; phase; hp; horsepower; power,make; lifting capacity; weight capacity; power source; capacity; power supply; power requirement; load capacity; power type,1 hp; single phase,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""texmo"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Texmo Taro"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""texmo"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Texmo Taro"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""texmo"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Texmo Taro"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""1 hp"", ""gt_original"": ""1 hp"", ""gemma_original"": ""1 HP"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 3}], ""gemma_keys"": [{""key"": ""capacity"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""load_capacity"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""weight_capacity"", ""key_priority"": 3, ""attr_priority"": 3}, {""key"": ""lifting_capacity"", ""key_priority"": 4, ""attr_priority"": 3}], ""under_same_key"": false}, {""value"": ""single phase"", ""gt_original"": ""single phase"", ""gemma_original"": ""Single Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 4}], ""gemma_keys"": [{""key"": ""power_source"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""power_supply"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""power_type"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""power_requirement"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": []}"
1 Inch Kit Cooler Motor,True,True,4,2,6,2,2,0,2,4,50.00%,0.00%,0,0,motor type; product type,use; application,shaft diameter; inner diameter; diameter; type,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""cooler motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Kit Cooler Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""cooler motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Kit Cooler Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
