Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
0.25 HP 1440RPM  Ft  Single Phase Double Shaft Motor,1,2,12,3,5,3,8.3%,40.0%,motor - motor_type | product_type |||| 0.25 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed |||| dual shaft - shaft_type | shaft,0.25 hp - motor hp |||| 1440rpm - full load rpm |||| single phase - phase,phase,0.25 hp | single phase,horsepower | hp | motor type | power | product type | rated speed | rpm | shaft | shaft type | speed | supply phase,full load rpm | motor hp
0.25HP Single Phase Electric Motor,1,1,7,3,3,3,14.3%,33.3%,motor - motor_type | product_type |||| 0.25 hp - power | horsepower | hp |||| single phase - phase | supply_phase,0.25hp - power |||| electric motor - product |||| single phase - no of phase,power,single phase,horsepower | hp | motor type | phase | product type | supply phase,no of phase | product
0.5 hp motor,1,2,5,2,2,2,20.0%,100.0%,motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp,0.5 hp - power |||| motor - part type,power,0.5 hp | motor,horsepower | hp | motor type | product type,part type
0.75 KW Godrej 1158 1HP Electric Motor,3,2,10,5,4,5,30.0%,50.0%,godrej - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 0.75 kw - power | kilowatt | wattage,1158 - model name/number |||| 0.75 kw - power |||| 1hp - horsepower |||| electric - power source |||| godrej - brand,brand | horsepower | power,0.75 kw | godrej,company | hp | kilowatt | manufacturer | motor type | product type | wattage,model name/number | power source
0502 exhaust fan motor,0,0,4,2,3,2,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,0502 - model number |||| exhaust fan - usage,,,application | motor type | product type | use,model number | usage
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,3,1,12,3,5,3,25.0%,20.0%,dc motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| 12v - voltage | supply_voltage |||| 10000 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,10000rpm - speed |||| 12 v - voltage |||| dc - motor type,motor type | speed | voltage,dc,current type | horsepower | hp | power | product type | rated speed | rpm | supply type | supply voltage,
1 HP Impel VGGH25 Electric Motor,1,1,5,3,2,3,20.0%,50.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - power |||| impel - brand |||| vggh25 - model name/number,power,1 hp,horsepower | hp | motor type | product type,brand | model name/number
1 HP Texmo Taro Single Phase Motor Starter,3,2,12,4,5,4,25.0%,40.0%,texmo - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| starter - application | use,1 hp - power |||| motor starter - usage |||| single phase - phase |||| texmo taro - brand,brand | phase | power,1 hp | single phase,application | company | horsepower | hp | manufacturer | motor type | product type | supply phase | use,usage
1 Inch Kit Cooler Motor,0,1,4,1,2,1,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage,,cooler motor,application | motor type | product type | use,usage
1 fan motor,0,0,4,1,2,1,0.0%,0.0%,fan motor - motor_type | product_type |||| fan - application | use,motor - part type,,,application | motor type | product type | use,part type
