"fk_im_spec_master_desc","fk_im_spec_options_desc"
Voltage,"440 V"
Surface Finishing,Paint Coated
Automation Grade,Automatic
Phase,Three Phase
Automation Grade,Automatic
Voltage,"380 V"
Body Material,Stainless Steel
I Deal In,New Only
Automation Grade,automatic
Automation Grade,Semi-Automatic
Phase,"3 PHASE"
Voltage,"415 V"
Size,"30 inch"
Automation Grade,Automatic
Country of Origin,Made in India
Phase,Silver Refining Plant
Heating Range,Silver Refining Plant
Screw Speed,"58 RPM"
Country of Origin,Made in India
Automation Grade,Automatic
Material To Be Extruded,Plastic
Phase,Single Phase
Phase,Single Phase
Country of Origin,Made in India
Automation Grade,Automatic
Country of Origin,Made in India
Body Material,Mild Steel
Phase,"3 Phase"
Brand,EDR
Usage/Application,Industrial
I Deal In,New Only
Body Material,"TITANIUM,PP"
Phase,Single Phase
Power,"0.5 KVA"
Purity,"99%"
Weight,"650 kg"
Voltage,"240 V"
Phase,"1 Phase"
Country of Origin,Made in India
Automation Grade,Automatic
Material To Be Extruded,Plastic
Usage/Application,Industrial
Brand,Gurukrupa Enterprises
Voltage,"400 V"
Country of Origin,Made in India
Voltage,"380 V"
Usage/Application,Industrial
Phase,Single Phase
Model Name/Number,ABA 35*45
Voltage,"220 V"
Frequency,"50Hz"
Phase,Single
Production Capacity,"50 MT"
Material To Be Extruded,Plastic
Automation Grade,Automatic
Power Source,Electric
Diameter,"75mm"
Country of Origin,Made in India
Automation Grade,Semi-Automatic
Country of Origin,Made in India
Phase,Three Phase
Country of Origin,Made in India
Power Source,Electrical
Phase,Three Phase
Automation Grade,Automatic
Phase,Three Phase
Phase,Three Phase
Voltage,"380 V"
Film Thickness,"60 Micron"
Country of Origin,Made in India
Automation Grade,Automatic
I Deal In,New Only
Screw Speed,"600 rpm"
Usage/Application,Industrial
Film Thickness,"60 Micron"
Voltage,"220 V"
Voltage,"220 V"
Country of Origin,Made in India
Voltage,"220 V"
Power,"2 HP"
Height,LOW
Lead,"1 KW"
Installation Services,Yes
Phase,"3"
Phase,Three Phase
Country of Origin,Made in India
Body Material,"Titanium, Glass, PPH"
Frequency,"50Hz"
Power Source,Electric
Power,"220"
Installation Services,Yes
Motor Power,"5 HP"
Phase,Three Phase
Dimension,ABC
Country of Origin,Made in India
Automation Grade,fully
Frequency,"5"
Power,"2/3kw"
Type,Any kind of metal extrusion
I Deal In,New Only
Phase,Hand Operated
Material,"304/316L Stainless Steel"
Voltage,"220 V"
I Deal In,New Only
Type,Semi-Automatic
Brand,Hulk Lokpal
Country of Origin,Made in India
Power Source,Client Scope
Usage/Application,"Pharmaceutical Industry, food and beverages and cosmetics industries"
Frequency,"50 Hz"
Usage/Application,Cosmetics
Temperature,"185 Degree Celsius"
Voltage,"220 V"
Usage/Application,Industrial
I Deal In,New Only
Body Material,MS
Power,AC
Wire Material,Copper
Capacity,"425 tons"
Voltage,"220 V"
Body Material,Mild Steel
Material,FRP
Frequency,"50Hz"
Frequency,"50 Hz"
Power,"1200W"
Power Source,Electric
Driven Type,Electricity
I Deal In,New Only
Screw Speed,"45 RPM"
Installation Services,YES
I Deal In,New Only
Country of Origin,Made in India
Installation Services,Yes
Phase,Single Phase
Automation Grade,fully automatic
Motor Power,"10 KW"
Phase,"3"
Automation Grade,Automatic
Body Material,SS
Power Consumption,"55 kW"
Country of Origin,Made in India
Voltage,"380 V"
Wire Thickness,"70mm"
Warranty,"24 Months"
Power Consumption,Electric
Country of Origin,Made in India
Material,SS
Phase,SINGLE/THREE
Installation Services,Yes
Power Source,"220B"
Automation Grade,Automatic
Screw Diameter,"21.7 mm"
Phase,Three Phase
Usage/Application,"Garbage Bags,Medical Bags"
Material,SS
Automation Grade,Automatic
