success_qmeans,query,qmeans_attr_count,qmeans_isq_list,qmeans_isq_pipe,response_time,success_gemini,gemini_attr_count,gemini_isq_list,gemini_isq_pipe,gemini_raw_output,improvement
True,100% PLA PBAT Starch Compounding Lab Twin Screw Extruder Bioplastic Pellets Extrusion Machine,1,['pla:material:specification'],pla:material:specification,28.98,True,10,"['[""PLA:material:specification""', '""PBAT:material:specification""', '""starch:material:specification""', '""compounding:process:specification""', '""lab:usage:specification""', '""twin screw:type:specification""', '""extruder:type:specification""', '""bioplastic:material:specification""', '""pellets:form:specification""', '""extrusion:process:specification""]']","[""PLA:material:specification"" | ""PBAT:material:specification"" | ""starch:material:specification"" | ""compounding:process:specification"" | ""lab:usage:specification"" | ""twin screw:type:specification"" | ""extruder:type:specification"" | ""bioplastic:material:specification"" | ""pellets:form:specification"" | ""extrusion:process:specification""]","```
[""PLA:material:specification"", ""PBAT:material:specification"", ""starch:material:specification"", ""compounding:process:specification"", ""lab:usage:specification"", ""twin screw:type:specification"", ""extruder:type:specification"", ""bioplastic:material:specification"", ""pellets:form:specification"", ""extrusion:process:specification""]
```",9
True,blown film double die extruder machine with double station winder for ldpe /ld and hm,1,['extruder:machine name:specification'],extruder:machine name:specification,17.22,True,7,"['[""blown film:usage:specification""', '""double die:type:specification""', '""extruder:type:specification""', '""double station winder:type:specification""', '""ldpe:material:specification""', '""ld:material:specification""', '""hm:material:specification""]']","[""blown film:usage:specification"" | ""double die:type:specification"" | ""extruder:type:specification"" | ""double station winder:type:specification"" | ""ldpe:material:specification"" | ""ld:material:specification"" | ""hm:material:specification""]","```
[""blown film:usage:specification"", ""double die:type:specification"", ""extruder:type:specification"", ""double station winder:type:specification"", ""ldpe:material:specification"", ""ld:material:specification"", ""hm:material:specification""]
```",6
True,3-d Printing Rod Cod Wire Filament Lab Extrusion Line,0,[],,17.86,True,6,"['[""3-d printing:type:specification""', '""rod:material:specification""', '""wire:material:specification""', '""filament:material:specification""', '""lab:usage:specification""', '""extrusion line:type:specification""]']","[""3-d printing:type:specification"" | ""rod:material:specification"" | ""wire:material:specification"" | ""filament:material:specification"" | ""lab:usage:specification"" | ""extrusion line:type:specification""]","```
[""3-d printing:type:specification"", ""rod:material:specification"", ""wire:material:specification"", ""filament:material:specification"", ""lab:usage:specification"", ""extrusion line:type:specification""]
```",6
True,pvc pp pe pc abs small profile extrusion line,1,['pvc pp pe:material:specification'],pvc pp pe:material:specification,31.8,True,7,"['[""pvc:material:specification""', '""pp:material:specification""', '""pe:material:specification""', '""pc:material:specification""', '""abs:material:specification""', '""profile extrusion:type:specification""', '""small:size:specification""]']","[""pvc:material:specification"" | ""pp:material:specification"" | ""pe:material:specification"" | ""pc:material:specification"" | ""abs:material:specification"" | ""profile extrusion:type:specification"" | ""small:size:specification""]","```
[""pvc:material:specification"", ""pp:material:specification"", ""pe:material:specification"", ""pc:material:specification"", ""abs:material:specification"", ""profile extrusion:type:specification"", ""small:size:specification""]
```",6
True,Automatic Twin Screw Corn Pola Bamboo Extruder,1,['automatic:operation mode:specification'],automatic:operation mode:specification,17.68,True,6,"['[""automatic:feature:specification""', '""twin screw:type:specification""', '""corn:material:specification""', '""pola:material:specification""', '""bamboo:material:specification""', '""extruder:type:specification""]']","[""automatic:feature:specification"" | ""twin screw:type:specification"" | ""corn:material:specification"" | ""pola:material:specification"" | ""bamboo:material:specification"" | ""extruder:type:specification""]","```
[""automatic:feature:specification"", ""twin screw:type:specification"", ""corn:material:specification"", ""pola:material:specification"", ""bamboo:material:specification"", ""extruder:type:specification""]
```",5
True,plastik fim blown extuder hdpe ldpe,1,['hdpe ldpe:material:specification'],hdpe ldpe:material:specification,17.79,True,6,"['[""plastik:material:specification""', '""film:usage:specification""', '""blown:type:specification""', '""extuder:type:specification""', '""hdpe:material:specification""', '""ldpe:material:specification""]']","[""plastik:material:specification"" | ""film:usage:specification"" | ""blown:type:specification"" | ""extuder:type:specification"" | ""hdpe:material:specification"" | ""ldpe:material:specification""]","```
[""plastik:material:specification"", ""film:usage:specification"", ""blown:type:specification"", ""extuder:type:specification"", ""hdpe:material:specification"", ""ldpe:material:specification""]
```",5
True,toyota prado 2.7l vt twin-screw supercharger kit  40% hp,1,['40%:power:specification'],40%:power:specification,17.82,True,6,"['[""toyota prado:model:specification""', '""2.7l:engine_size:specification""', '""vt:model:specification""', '""twin-screw supercharger:type:specification""', '""kit:product:specification""', '""40% hp:performance:specification""]']","[""toyota prado:model:specification"" | ""2.7l:engine_size:specification"" | ""vt:model:specification"" | ""twin-screw supercharger:type:specification"" | ""kit:product:specification"" | ""40% hp:performance:specification""]","```
[""toyota prado:model:specification"", ""2.7l:engine_size:specification"", ""vt:model:specification"", ""twin-screw supercharger:type:specification"", ""kit:product:specification"", ""40% hp:performance:specification""]
```",5
True,Automatic Twin Screw Corn Puffed Stick Extruder,0,[],,27.46,True,5,"['automatic:feature:specification', 'twin screw:type:specification', 'corn:material:specification', 'puffed stick:form:specification', 'extruder:type:specification']",automatic:feature:specification | twin screw:type:specification | corn:material:specification | puffed stick:form:specification | extruder:type:specification,"[""automatic:feature:specification"", ""twin screw:type:specification"", ""corn:material:specification"", ""puffed stick:form:specification"", ""extruder:type:specification""]",5
True,no 300 kg/hr manual Single Pipe Twin Screw Extruder Line,1,['300 kg/hr:capacity:specification'],300 kg/hr:capacity:specification,17.85,True,6,"['[""300 kg/hr:capacity:specification""', '""manual:control:specification""', '""Single Pipe:design:specification""', '""Twin Screw:screw_type:specification""', '""Extruder:type:specification""', '""Line:product_line:specification""]']","[""300 kg/hr:capacity:specification"" | ""manual:control:specification"" | ""Single Pipe:design:specification"" | ""Twin Screw:screw_type:specification"" | ""Extruder:type:specification"" | ""Line:product_line:specification""]","```
[""300 kg/hr:capacity:specification"", ""manual:control:specification"", ""Single Pipe:design:specification"", ""Twin Screw:screw_type:specification"", ""Extruder:type:specification"", ""Line:product_line:specification""]
```",5
True,extrusion monolayer blown warkig opreterfilm machine,0,[],,18.13,True,5,"['[""extrusion:type:specification""', '""monolayer:material:specification""', '""blown:type:specification""', '""opreterfilm:usage:specification""', '""machine:type:specification""]']","[""extrusion:type:specification"" | ""monolayer:material:specification"" | ""blown:type:specification"" | ""opreterfilm:usage:specification"" | ""machine:type:specification""]","```
[""extrusion:type:specification"", ""monolayer:material:specification"", ""blown:type:specification"", ""opreterfilm:usage:specification"", ""machine:type:specification""]
```",5
