success,query,qmeans_attr_count,qmeans_isq_list,qmeans_isq_pipe,response_time
True,assam tea 500 gm pack,1,['500 gm:packaging size:specification'],500 gm:packaging size:specification,17.57
True,premium assam tea loose leaf,2,"['leaf:form:specification', 'loose:packaging type:specification']",leaf:form:specification | loose:packaging type:specification,18.36
True,organic assam tea black tea,3,"['assam:state origin:specification', 'black:color:specification', 'organic:type:specification']",assam:state origin:specification | black:color:specification | organic:type:specification,18.45
True,assam tea gift box 1 kg,3,"['1 kg:packaging size:specification', 'box:packaging type:specification', 'gift:usage:specification']",1 kg:packaging size:specification | box:packaging type:specification | gift:usage:specification,18.18
True,best quality assam tea online,2,"['best quality:features:specification', 'online:type:specification']",best quality:features:specification | online:type:specification,14.6
True,assam tea ctc grade,1,['ctc:processing type:specification'],ctc:processing type:specification,22.43
True,assam tea green pack 250 gm,2,"['250 gm:packaging size:specification', 'green:color:specification']",250 gm:packaging size:specification | green:color:specification,16.77
True,assam tea with cardamom flavor,1,['cardamom:flavor:specification'],cardamom:flavor:specification,17.35
True,assam tea premium blend,0,[],,19.93
True,assam tea wholesale price,1,['wholesale:business type:specification'],wholesale:business type:specification,17.61
True,mango bags jute material,2,"['bags:usage:specification', 'jute:material:specification']",bags:usage:specification | jute:material:specification,19.05
True,mango bags for storage,1,['storage:usage:specification'],storage:usage:specification,31.88
True,mango bags plastic 5 kg capacity,2,"['5 kg:capacity:specification', 'plastic:material:specification']",5 kg:capacity:specification | plastic:material:specification,26.05
True,eco friendly mango bags,1,['eco friendly:features:specification'],eco friendly:features:specification,16.91
True,printed mango bags wholesale,2,"['printed:pattern:specification', 'wholesale:business type:specification']",printed:pattern:specification | wholesale:business type:specification,18.01
True,mango bags with handles,0,[],,17.58
True,mango bags net type,0,[],,16.73
True,mango bags paper material,2,"['bags:usage:specification', 'paper:material:specification']",bags:usage:specification | paper:material:specification,41.35
True,mango bags exporters,1,['bags:packaging type:specification'],bags:packaging type:specification,17.92
True,reusable mango bags set of 10,1,['10:set contains:specification'],10:set contains:specification,21.08
True,kerala cotton saree white,2,"['kerala cotton:cotton type:specification', 'white:color:specification']",kerala cotton:cotton type:specification | white:color:specification,27.3
True,kerala cotton saree with gold border,2,"['border:pattern:specification', 'kerala cotton:cotton type:specification']",border:pattern:specification | kerala cotton:cotton type:specification,17.19
True,kerala cotton saree kasavu,1,['kerala cotton:cotton type:specification'],kerala cotton:cotton type:specification,19.08
