success,query,qmeans_attr_count,qmeans_isq_list,qmeans_isq_pipe,response_time
True,Blown Film Extrusion Machine,1,['film:usage:specification'],film:usage:specification,17.35
True,sheet extruder machine,1,['extruder:type:specification'],extruder:type:specification,17.33
True,centrufuge Extractor For Textile Mills,2,"['extractor:product:specification', 'textile mills:usage:specification']",extractor:product:specification | textile mills:usage:specification,18.61
True,Gold Refinery Plant,2,"['gold:usage:specification', 'refinery:type:specification']",gold:usage:specification | refinery:type:specification,19.89
True,Extruder Machine,1,['extruder:type:specification'],extruder:type:specification,19.66
True,Solvent Extraction Plant,1,['solvent extraction:usage:specification'],solvent extraction:usage:specification,17.4
True,lab extruder,2,"['extruder:type:specification', 'lab:usage:specification']",extruder:type:specification | lab:usage:specification,18.86
True,plastic sheet plant near ahmedabad,1,['plastic:material:specification'],plastic:material:specification,34.79
True,Aluminium Extrusion Plant Consultant,2,"['aluminium:material:specification', 'extrusion:machine type:specification']",aluminium:material:specification | extrusion:machine type:specification,17.09
True,sheet extruder,1,['extruder:type:specification'],extruder:type:specification,17.29
True,aluminium-extrusion-plant,1,['aluminium-extrusion-plant:material:specification'],aluminium-extrusion-plant:material:specification,16.78
True,Silver Refinery Plant,1,['refinery:type:specification'],refinery:type:specification,18.91
True,ilko aluminium manufactur where the plant,2,"['aluminium:material:specification', 'manufactur:business type:specification']",aluminium:material:specification | manufactur:business type:specification,17.15
True,"ilko aluminium manufactur, where the plant",2,"['aluminium:material:specification', 'manufactur,:business type:specification']","aluminium:material:specification | manufactur,:business type:specification",17.28
True,ultrasonic herbal extraction machine,2,"['herbal extraction:usage:specification', 'ultrasonic:technology:specification']",herbal extraction:usage:specification | ultrasonic:technology:specification,25.2
True,Gold Refining plant Scale Model,1,['scale model:type:specification'],scale model:type:specification,15.1
True,Gold Refineing Machine Scale Model,2,"['gold refineing:usage:specification', 'scale model:type:specification']",gold refineing:usage:specification | scale model:type:specification,23.92
True,zone refining,1,['zone:brand:specification'],zone:brand:specification,16.16
True,twin-screw-extruder,0,[],,16.73
True,Imported Oak Moss Lichen,0,[],,17.15
True,tclp extractor,1,['extractor:product:specification'],extractor:product:specification,15.74
True,ricebran esterification plant,1,['esterification:type:specification'],esterification:type:specification,17.13
True,gold-refining-plant,0,[],,16.43
True,ld extruder machine,2,"['extruder:type:specification', 'ld:material:specification']",extruder:type:specification | ld:material:specification,16.23
True,65mm ld extruder machine,3,"['65mm:screw diameter:specification', 'extruder:type:specification', 'ld:material:specification']",65mm:screw diameter:specification | extruder:type:specification | ld:material:specification,20.69
True,Solvent Extraction Plant Equipment,1,['solvent extraction:usage:specification'],solvent extraction:usage:specification,16.3
True,lab scale twin screw extruder,2,"['lab:usage:specification', 'screw extruder:type:specification']",lab:usage:specification | screw extruder:type:specification,17.47
True,Silver Refining Plant,2,"['refining plant:type:specification', 'silver:refining material:specification']",refining plant:type:specification | silver:refining material:specification,29.08
True,Rice Bran Oil Extraction Plant and Machinery,2,"['extraction:machine type:specification', 'rice bran oil:usage:specification']",extraction:machine type:specification | rice bran oil:usage:specification,28.73
True,twin screw extruder 50 kg/hr extruder machine,2,"['50 kg/hr:capacity:specification', 'extruder:type:specification']",50 kg/hr:capacity:specification | extruder:type:specification,17.39
True,gold refining machine,2,"['gold:refining material:specification', 'refining:type:specification']",gold:refining material:specification | refining:type:specification,16.83
True,co rotating twin screw extruders,1,['screw:type:specification'],screw:type:specification,17.72
True,Electric Wood Shavings Extractor,2,"['electric:power source:specification', 'wood shavings:usage:specification']",electric:power source:specification | wood shavings:usage:specification,16.36
True,Automatic Monolayer Blown Film Extrusion Machine,1,['automatic:machine type:specification'],automatic:machine type:specification,16.34
True,Extruder,0,[],,16.08
True,co extruder machine,1,['extruder:type:specification'],extruder:type:specification,17.43
True,Solid Phase Extraction vacuum Manifold,2,"['solid phase extraction:usage:specification', 'vacuum manifold:product:specification']",solid phase extraction:usage:specification | vacuum manifold:product:specification,18.28
True,Aluminum Plant,1,['aluminum:material:specification'],aluminum:material:specification,21.6
True,rag gold refined,1,['refined:processing type:specification'],refined:processing type:specification,17.6
True,benchtop extruder,1,['extruder:type:specification'],extruder:type:specification,17.43
True,Metal Refining Plant,1,['refining plant:type:specification'],refining plant:type:specification,18.63
True,soap extruder machine,1,['extruder:type:specification'],extruder:type:specification,17.15
True,Automatic Gold Refining Machine,2,"['automatic:automation grade:specification', 'refining:usage:specification']",automatic:automation grade:specification | refining:usage:specification,18.28
True,Cable Extruder,0,[],,18.18
True,extruder-machine,1,['extruder-machine:type:specification'],extruder-machine:type:specification,18.62
True,Mini Extruder Machine,1,['extruder:type:specification'],extruder:type:specification,20.98
True,Twin Screw Extruder,0,[],,16.87
True,blown-film-extrusion-machine,0,[],,16.56
True,cable extruder machine,1,['extruder:type:specification'],extruder:type:specification,19.1
True,pv solar cable extrusion line machines - labh group,1,['labh group:brand:specification'],labh group:brand:specification,17.7
True,pvc cable extruder,2,"['extruder:type:specification', 'pvc:material:specification']",extruder:type:specification | pvc:material:specification,16.36
True,extruder 180 sq mm cables,2,"['180 sq mm:size:specification', 'extruder:usage:specification']",180 sq mm:size:specification | extruder:usage:specification,16.71
True,twin screw extruder ldpe plastic recycling line  production capacity: 500 kghr,3,"['500 kghr:capacity:specification', 'ldpe:material:specification', 'plastic recycling:usage:specification']",500 kghr:capacity:specification | ldpe:material:specification | plastic recycling:usage:specification,21.53
True,"Twin Screw Extruder Ldpe Plastic Recycling Line, Production Capacity: 500 kg/hr",3,"['500 kg/hr:capacity:specification', 'ldpe:material:specification', 'plastic recycling:usage:specification']",500 kg/hr:capacity:specification | ldpe:material:specification | plastic recycling:usage:specification,17.89
True,extruder 180 sq mm,2,"['180 sq mm:capacity:specification', 'extruder:type:specification']",180 sq mm:capacity:specification | extruder:type:specification,16.74
True,ABA 2 Layer Blown Film Machine,3,"['2 layer:layer:specification', 'aba:brand:specification', 'blown film machine:product:specification']",2 layer:layer:specification | aba:brand:specification | blown film machine:product:specification,18.9
True,Herbal Extraction Plant,0,[],,69.1
True,Liquid Extraction Systems,1,['liquid:usage:specification'],liquid:usage:specification,152.53
True,Aluminum Extrusion Plant,1,['aluminum:material:specification'],aluminum:material:specification,93.78
True,Aluminium Ectrusion Plant.,1,['aluminium:material:specification'],aluminium:material:specification,61.07
True,Aluminium Extrusion Plant,1,['aluminium:material:specification'],aluminium:material:specification,18.71
True,solvent-extraction-systems,0,[],,18.33
True,complete aluminum extrusion plant .,1,['aluminum:material:specification'],aluminum:material:specification,19.98
True,Gold Refining Equipment,2,"['gold:refining material:specification', 'refining:type:specification']",gold:refining material:specification | refining:type:specification,17.86
True,Cannabis Extraction Plant,2,"['cannabis:usage:specification', 'extraction:machine type:specification']",cannabis:usage:specification | extraction:machine type:specification,16.96
True,Herbal Extraction Plant Machinery,1,['herbal:usage:specification'],herbal:usage:specification,17.01
True,Basket Extruder Machine,1,['extruder:type:specification'],extruder:type:specification,23.92
True,5 kg automatic gold refining machine,3,"['5 kg:capacity:specification', 'automatic:automation grade:specification', 'gold refining:usage:specification']",5 kg:capacity:specification | automatic:automation grade:specification | gold refining:usage:specification,17.54
True,food grade twin screw extruder,1,['screw extruder:type:specification'],screw extruder:type:specification,19.67
True,bollman extractor material,0,[],,16.49
True,Extraction Plants and Extruders,0,[],,16.98
True,twin screw extruder for lab,2,"['lab:usage:specification', 'screw extruder:type:specification']",lab:usage:specification | screw extruder:type:specification,17.06
True,twin screw extruder for plastics,2,"['plastics:usage:specification', 'screw extruder:type:specification']",plastics:usage:specification | screw extruder:type:specification,17.94
True,Bench-top Co-rotating Twin-screw Extruders,0,[],,16.38
True,Metal solvent extraction plant,2,"['metal:material:specification', 'solvent extraction:type:specification']",metal:material:specification | solvent extraction:type:specification,17.47
True,gold tunch machine,0,[],,17.29
True,Hira Solvent Extraction Parts,2,"['hira:brand:specification', 'solvent extraction parts:product:specification']",hira:brand:specification | solvent extraction parts:product:specification,16.38
True,automatic no Twin Screw Extruder,2,"['automatic:automation grade:specification', 'screw extruder:type:specification']",automatic:automation grade:specification | screw extruder:type:specification,16.27
True,एक्सट्रूडर₹1.5 – ₹ 2 लाख,1,['एक्सट्रूडर₹1.5:composition:specification'],एक्सट्रूडर₹1.5:composition:specification,136.34
True,Artificial Rice Extrusion Plant,1,['artificial:type:specification'],artificial:type:specification,17.09
True,Gold Refining,1,['gold:metal:specification'],gold:metal:specification,16.63
True,wire extruder head,1,['extruder:usage:specification'],extruder:usage:specification,15.77
True,25 mm wire extruder head,1,['25 mm:diameter:specification'],25 mm:diameter:specification,32.12
True,tube extrusion machine 500 kg/hr extruder machine,1,['500 kg/hr:capacity:specification'],500 kg/hr:capacity:specification,23.33
True,14000 RPM Centrifuge Extractor,2,"['14000 rpm:speed:specification', 'centrifuge extractor:product:specification']",14000 rpm:speed:specification | centrifuge extractor:product:specification,16.79
True,Hand Operated Bitumen Extractor,1,['bitumen extractor:machine type:specification'],bitumen extractor:machine type:specification,17.63
True,gold elctro refiing equpement,0,[],,23.46
True,New Jockey Extruder,3,"['extruder:type:specification', 'jockey:brand:specification', 'new:condition:specification']",extruder:type:specification | jockey:brand:specification | new:condition:specification,16.09
True,two layer blown film extrusion machine,1,['two layer:layer:specification'],two layer:layer:specification,17.28
True,एक्सट्रूडर₹1.5 – ₹5 लाख,1,['एक्सट्रूडर₹1.5:composition:specification'],एक्सट्रूडर₹1.5:composition:specification,16.85
True,Aluminum Extrusion Laboratory Installation Service,2,"['aluminum:material:specification', 'installation service:service:specification']",aluminum:material:specification | installation service:service:specification,18.0
True,herbal-extraction-plant,0,[],,16.12
True,oleoresin extraction plants,1,['oleoresin:usage:specification'],oleoresin:usage:specification,18.51
True,Steer Alpha18 Twin Screw Extruder,3,"['alpha18:model name/number:specification', 'steer:brand:specification', 'twin screw extruder:type:specification']",alpha18:model name/number:specification | steer:brand:specification | twin screw extruder:type:specification,17.69
True,2 kg automatic electrolytic gold refinery machine,3,"['2 kg:capacity:specification', 'automatic:automation grade:specification', 'gold refinery:usage:specification']",2 kg:capacity:specification | automatic:automation grade:specification | gold refinery:usage:specification,18.55
True,2 kg fully automatic gold dust refinery machine (titanium body  aqua regia processing),3,"['2 kg:capacity:specification', 'automatic:automation grade:specification', 'gold dust:usage:specification']",2 kg:capacity:specification | automatic:automation grade:specification | gold dust:usage:specification,17.9
True,"2 kg Fully Automatic Gold Dust Refinery Machine (Titanium Body, Aqua Regia Processing)",2,"['2 kg:capacity:specification', 'automatic:automation grade:specification']",2 kg:capacity:specification | automatic:automation grade:specification,17.81
True,automatic gold refining machine manfacturer 2kg in egypt  capacity(kg): 20 kg,3,"['2kg:capacity:specification', 'automatic:automation grade:specification', 'gold refining:usage:specification']",2kg:capacity:specification | automatic:automation grade:specification | gold refining:usage:specification,17.22
True,"Automatic Gold Refining Machine Manfacturer 2kg In Egypt, Capacity(kg): 20 kg",3,"['2kg:capacity:specification', 'automatic:automation grade:specification', 'gold refining:usage:specification']",2kg:capacity:specification | automatic:automation grade:specification | gold refining:usage:specification,18.02
True,automatic gold refining machine 2kg,3,"['2kg:capacity:specification', 'automatic:automation grade:specification', 'gold refining:usage:specification']",2kg:capacity:specification | automatic:automation grade:specification | gold refining:usage:specification,16.28
True,Extruder Cutter,0,[],,16.69
True,automaticsilverrefiningplant50kg,0,[],,17.1
True,Automatic Silver Refining Plant (50kg),1,['automatic:automation grade:specification'],automatic:automation grade:specification,17.73
True,silver refiningplant,1,['refiningplant:type:specification'],refiningplant:type:specification,18.05
