query,success,unique_value_count,total_key_count,raw_output,attributes_json,input_tokens,output_tokens,cost
Cooler Motor,True,1,2,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""Cooler Motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""Cooler"",""value"":""Cooler Motor"",""key_priority"":2,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""Cooler Motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""Cooler"", ""value"": ""Cooler Motor"", ""key_priority"": 2, ""attribute_priority"": 1}]}",2214,3961,$0.007049
Actuators,False,0,0,,,2216,3000,$0.005608
130 Flat Motor,True,2,4,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""flat motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""type"",""value"":""flat motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""size"",""value"":""130"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""model_number"",""value"":""130"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""flat motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""type"", ""value"": ""flat motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""size"", ""value"": ""130"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""model_number"", ""value"": ""130"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2219,2302,$0.004563
ap fan motor & fresh air moter,True,2,4,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""application"",
      ""value"": ""fan motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""use"",
      ""value"": ""fan motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""application"",
      ""value"": ""fresh air motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""use"",
      ""value"": ""fresh air motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""application"", ""value"": ""fan motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""use"", ""value"": ""fan motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""fresh air motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""fresh air motor"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2224,160,$0.001352
a.c. induction motor,True,1,3,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""a.c. induction motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""induction_motor"",
      ""value"": ""a.c. induction motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""ac_motor"",
      ""value"": ""a.c. induction motor"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""a.c. induction motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""induction_motor"", ""value"": ""a.c. induction motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""ac_motor"", ""value"": ""a.c. induction motor"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2221,135,$0.001313
Siemens Sipart Ps2 Positioner Model 6dr5,True,4,9,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""brand"",
      ""value"": ""Siemens"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""manufacturer"",
      ""value"": ""Siemens"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""company"",
      ""value"": ""Siemens"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""model"",
      ""value"": ""Sipart Ps2"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""product_model"",
      ""value"": ""Sipart Ps2"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""type"",
      ""value"": ""Positioner"",
      ""key_priority"": 1,
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""device_type"",
      ""value"": ""Positioner"",
      ""key_priority"": 2,
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""model_number"",
      ""value"": ""6dr5"",
      ""key_priority"": 1,
      ""attribute_priority"": 4
    },
    {
      ""attribute_key"": ""part_number"",
      ""value"": ""6dr5"",
      ""key_priority"": 2,
      ""attribute_priority"": 4
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""model"", ""value"": ""Sipart Ps2"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_model"", ""value"": ""Sipart Ps2"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""type"", ""value"": ""Positioner"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""device_type"", ""value"": ""Positioner"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""model_number"", ""value"": ""6dr5"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""part_number"", ""value"": ""6dr5"", ""key_priority"": 2, ""attribute_priority"": 4}]}",2229,350,$0.001640
Ac Outdoor Fan Motor,True,3,6,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""ac motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""ac"",
      ""value"": ""ac motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""application"",
      ""value"": ""outdoor fan"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""use"",
      ""value"": ""outdoor fan"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""environment"",
      ""value"": ""outdoor"",
      ""key_priority"": 1,
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""location"",
      ""value"": ""outdoor"",
      ""key_priority"": 2,
      ""attribute_priority"": 3
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""ac motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""ac"", ""value"": ""ac motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""outdoor fan"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""outdoor fan"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""environment"", ""value"": ""outdoor"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""location"", ""value"": ""outdoor"", ""key_priority"": 2, ""attribute_priority"": 3}]}",2220,233,$0.001460
siemens-electric-motors,True,2,6,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""brand"",
      ""value"": ""siemens"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""manufacturer"",
      ""value"": ""siemens"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""company"",
      ""value"": ""siemens"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""electric motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""type"",
      ""value"": ""electric motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""motor"",
      ""value"": ""electric motor"",
      ""key_priority"": 3,
      ""attribute_priority"": 2
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""electric motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""type"", ""value"": ""electric motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor"", ""value"": ""electric motor"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2219,2550,$0.004935
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,5,12,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""brand"",
      ""value"": ""siemens"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""manufacturer"",
      ""value"": ""siemens"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""company"",
      ""value"": ""siemens"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""model"",
      ""value"": ""SIMOTICS S-1FK2"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""product_model"",
      ""value"": ""SIMOTICS S-1FK2"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""servo motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""servo"",
      ""value"": ""servo motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""part_number"",
      ""value"": ""1FK2104-6AF01-1MB0"",
      ""key_priority"": 1,
      ""attribute_priority"": 4
    },
    {
      ""attribute_key"": ""item_number"",
      ""value"": ""1FK2104-6AF01-1MB0"",
      ""key_priority"": 2,
      ""attribute_priority"": 4
    },
    {
      ""attribute_key"": ""power"",
      ""value"": ""1 kW"",
      ""key_priority"": 1,
      ""attribute_priority"": 5
    },
    {
      ""attribute_key"": ""wattage"",
      ""value"": ""1 kW"",
      ""key_priority"": 2,
      ""attribute_priority"": 5
    },
    {
      ""attribute_key"": ""kilowatt"",
      ""value"": ""1 kW"",
      ""key_priority"": 3,
      ""attribute_priority"": 5
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""model"", ""value"": ""SIMOTICS S-1FK2"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_model"", ""value"": ""SIMOTICS S-1FK2"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""servo motor"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""servo"", ""value"": ""servo motor"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""part_number"", ""value"": ""1FK2104-6AF01-1MB0"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""item_number"", ""value"": ""1FK2104-6AF01-1MB0"", ""key_priority"": 2, ""attribute_priority"": 4}, {""attribute_key"": ""power"", ""value"": ""1\u202fkW"", ""key_priority"": 1, ""attribute_priority"": 5}, {""attribute_key"": ""wattage"", ""value"": ""1\u202fkW"", ""key_priority"": 2, ""attribute_priority"": 5}, {""attribute_key"": ""kilowatt"", ""value"": ""1\u202fkW"", ""key_priority"": 3, ""attribute_priority"": 5}]}",2253,504,$0.001883
yako tech ms s3,True,2,6,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""brand"",
      ""value"": ""yako tech"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""manufacturer"",
      ""value"": ""yako tech"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""company"",
      ""value"": ""yako tech"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""model"",
      ""value"": ""ms s3"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""product_model"",
      ""value"": ""ms s3"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""variant"",
      ""value"": ""ms s3"",
      ""key_priority"": 3,
      ""attribute_priority"": 2
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""yako tech"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""yako tech"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""yako tech"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""model"", ""value"": ""ms s3"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""product_model"", ""value"": ""ms s3"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""variant"", ""value"": ""ms s3"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2222,237,$0.001466
