keyword,mcat_name,mcat_id
Cooler Motor,Cooler Motor,52897
Actuators,Valve Actuators,40795
130 Flat Motor,Cooler Motor,52897
ap fan motor & fresh air moter,Fan Motor,28231
a.c. induction motor,AC Induction Motor,21550
Siemens Sipart Ps2 Positioner Model 6dr5,Siemens Actuators,193967
Ac Outdoor Fan Motor,AC Fan Motor,146600
siemens-electric-motors,Siemens Electric Motor,184089
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,Siemens Servo Motors,184102
yako tech ms s3,Cooler Motor,52897
brushless dc motor,Brushless DC Motor,15240
ABB Electric Motor,ABB Electric Motor,181114
sensor plate,Motor Plate,190101
electronic components bo moters,DC Motor,445
1500 kv ccw multirotor motor,Brushless Motors,23616
Panasonic Geared Motor,Panasonic AC Geared Motor,193239
worm geared brake motor,Geared Brake Motors,44652
eletical motors 40hp,Three Phase Motor,2415
Rotomotive Induction Motor 3 Phase,Three Phase Induction Motor,131725
100 W Chimney Motor,Chimney Motors,443256
1 for reselling piece Panasonic Geared Motor,Panasonic AC Geared Motor,187161
Motor Cover,Motor Cover,117875
b04420065,Single Phase Induction Motor,9483
1 piece Slip Rings,Slip Rings,37229
venex 3 phase dol motor starter,DOL Starter,26266
Used Crompton Greaves Motor,Used Motors,178664
Mobile Starter Prime,Mobile Starter,161896
1kw( 1.3hp) bldc motor,Brushless DC Motor,15240
1kw( 1.3hp) bldc motor near jharsuguda,Brushless DC Motor,15240
spg motor,Single Phase Motors,9484
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,Crompton Greaves Motor,126348
Vacuum Cleaner Motors,Vacuum Cleaner Motors,40749
Siemens Electric Three Phase Motor,Siemens Electric Motor,184089
panasonic gear box MY9G30B,Panasonic AC Servo Motor,187161
Three Phase Dol Starter (elcw-s-digi),DOL Starter,26266
Motor Plate,Motor Plate,190101
three phase dol dry run motor starter,DOL Starter,26266
Single Phase Electric Motor,Single Phase Motors,9484
auto switch,Motor Automatic Switch,140407
Mdt Knx Actuator Automation Products Dealer,Knx Actuators,184101
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),DOL Starter,26266
Hydraulic Motor,Hydraulic Motor,10834
sliding door motor,Door Motor,52902
solenoid-switches,Solenoid Switches,7646
symphony air cooler motor,Cooler Motor,52897
PBL Geared Motors,PBL Geared Motors,206096
super max oil immersed dol motor starter,DOL Starter,26266
Sunflag Table Fan Motor,Fan Motor,28231
Industrial Motors,Industrial Motors,52915
crompton 3 phase motor 7.5 hp i3,Crompton Greaves Motor,126348
linear actuator control board,Linear Actuator Controller,166531
panasonic gar box,Gear Motor,29373
ड्रोन डीसी मोटर,DC Motor,445
single phase servo motor,DC Servo Motor,13275
single phase mild steel geared motor,Single Phase Motors,9484
Gold Power Single Phase Induction Motor,Single Phase Induction Motor,9483
Siemens 3TW72911AW78,Siemens Servo Motors,184102
Siemens 3TW72911AW74,Siemens Servo Motors,184102
Siemens 3TW72911AW72,Siemens Servo Motors,184102
Siemens 3TW72911AW71,Siemens Servo Motors,184102
Vertical Hollow Shaft Motor Service,Vertical Hollow Shaft Motor,44655
Siemens 3TW72911AW69,Siemens Servo Motors,184102
Siemens 3TW72911AW68,Siemens Servo Motors,184102
Siemens 3TW72911AW66,Siemens Servo Motors,184102
Siemens 3TW72911AW64,Siemens Servo Motors,184102
100 HP to 2000 HP  Slip Ring Motor Starter,Slip Ring Motor Starter,446528
Crompton Single Phase Electric Motor,Crompton Greaves Motor,126348
6 for business use piece electronic Valve Positioners,Valve Positioners,40629
drondch motor,DC Motor,445
STP-43D2035 Stepper Motor,Stepper Motor,18794
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,Siemens Servo Motors,184102
Crompton 0.5hp Motor,Crompton Motors,446133
Jencode Hollow Shaft Encoder,Hollow Shaft Encoders,30451
AC MOTARS,AC Motor,444
Hadrulicl Power motar,Hydraulic Motor,10834
RC Car Brushless ESC Platinum Edition 120A,Brushless Speed Controller,15240
RPG15Q Motor,AC Servo Motor,14970
Honeywell V4055 Fuild Power Actuator,Honeywell Actuators,203382
servo motor .,AC Servo Motor,14970
L & T SOFT STARTOR,Soft Starters,12256
775 dc motor,DC Motor,445
Brake Motors,Brake Motors,21078
1FK2104-6AF01-1MB0,Siemens Servo Motors,184102
Electric Motor,Electric Motor,1274
3 phase 415 V 0.09KW Motor,Three Phase Electric Motor,52930
crompton motors crompton motor 5 hp single phase near patna,Crompton Greaves Motor,126348
12v 775 Dc Motor,DC Micro Motors,25372
Linear Actuator,Linear Actuator,32181
Gold Power Single Phase Induction Motor,Single Phase Induction Motor,9483
dc motors,DC Motor,445
dol starter,DOL Starter,26266
Wages Patti,Industrial Motors,52915
Lift Motor,Lift Motor,77611
0.25HP Single Phase Electric Motor,Single Phase Electric Motor,52927
12v dc dual shaft motor,Dual Shaft Motor,139590
single phase submersible pump starter,Pump Starter,146491
Bharat Bijlee Ie3 Motor,Bharat Bijlee AC Motor,203388
Crompton Single Phase Vibrator,Vibration Motor,2743
Telescopic Brushes,Telescopic Brush,136910
Carbon Brush,Carbon Brush,903
electric gate motor,Electric Sliding Gate Motor,52905
101-200 KW 1 HP Bharat Bijlee Ac Motor,Bharat Bijlee AC Motor,203388
Auto Switch for 3 Phase Motor,Motor Automatic Switch,140407
crompton motors crompton motor 5 hp single phase,Crompton Greaves Motor,126348
Motors,Three Phase Electric Motor,52930
electrical motor,Three Phase Electric Motor,52930
0.37 KW 0.5 HP Bharat Bijlee Electric Motor,Bharat Bijlee AC Motor,203388
Three Phase Bharat Bijlee Motor,Bharat Bijlee AC Motor,203388
peco pk1 3 phase dol motor starter,DOL Starter,26266
Dol Motor Starter Dmc,DOL Starter,26266
tower-fan-motor,Tower Fan Motor,443716
11 KW 15 HP Crompton Greaves Electric Motor,Crompton Greaves Motor,126348
3 Phase Induction Motor,Three Phase Induction Motor,131725
Siemens Electric Motor,Siemens Electric Motor,184089
3.7 KW 5 HP Crompton Greaves AC motor,Crompton Greaves Industrial Motors,193884
Crompton,Crompton Motors,446133
Crompton Greaves Industrial Motors,Crompton Greaves Industrial Motors,193884
White Motor Starter,Single Phase Motor Starter,226793
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,Siemens Servo Motors,184102
CG Three Phase Crompton Greaves Flameproof Motor,Crompton Greaves Motor,126348
Makita HR-2440 Armature By PowerSpeed,Armature,25
bldc 50w 24v 3000rpm,Brushless DC Motor,15240
Mixer Grinder Motor,Mixer Grinder Motor,84526
3000 rpm 24 v bldc 50w 24v 3000rpm,Brushless DC Motor,15240
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,Three Phase Induction Motor,131725
motor protection cover,Motor Cover,117875
Dwe4235 Armature,Armature,25
AM Gold Motor Starter,Motor Starter,33567
