query,success,unique_value_count,total_key_count,raw_output,attributes_json
Cooler Motor,True,1,3,"{""attributes"": [{""attribute_key"": ""type"", ""value"": ""Cooler Motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""Cooler Motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""Cooler Motor"", ""key_priority"": 3, ""attribute_priority"": 1}]}","{""attributes"": [{""attribute_key"": ""type"", ""value"": ""Cooler Motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""Cooler Motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""Cooler Motor"", ""key_priority"": 3, ""attribute_priority"": 1}]}"
Actuators,True,1,4,"{""attributes"":[{""attribute_key"":""type"",""value"":""Actuators"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""Actuators"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""device_type"",""value"":""Actuators"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""model_number"",""value"":""Actuators"",""key_priority"":4,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""type"", ""value"": ""Actuators"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""Actuators"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""device_type"", ""value"": ""Actuators"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""model_number"", ""value"": ""Actuators"", ""key_priority"": 4, ""attribute_priority"": 1}]}"
130 Flat Motor,True,2,8,"{""attributes"":[{""attribute_key"":""model_number"",""value"":""130"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""model_name"",""value"":""130"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""model"",""value"":""130"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""model_no"",""value"":""130"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""type"",""value"":""Flat Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""Flat Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""product_type"",""value"":""Flat Motor"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""device_type"",""value"":""Flat Motor"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""model_number"", ""value"": ""130"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""model_name"", ""value"": ""130"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""model"", ""value"": ""130"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""model_no"", ""value"": ""130"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""type"", ""value"": ""Flat Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""Flat Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""product_type"", ""value"": ""Flat Motor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""device_type"", ""value"": ""Flat Motor"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
ap fan motor & fresh air moter,True,2,8,"{""attributes"":[{""attribute_key"":""brand"",""value"":""AP"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""AP"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""AP"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""AP"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""usage_application"",""value"":""Fresh Air Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""application"",""value"":""Fresh Air Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""usage"",""value"":""Fresh Air Motor"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""suitable_for"",""value"":""Fresh Air Motor"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""AP"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""AP"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""AP"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""AP"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""usage_application"", ""value"": ""Fresh Air Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""Fresh Air Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""usage"", ""value"": ""Fresh Air Motor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""suitable_for"", ""value"": ""Fresh Air Motor"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
a.c. induction motor,True,2,8,"{""attributes"":[{""attribute_key"":""power_source"",""value"":""A.C."",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""power_supply"",""value"":""A.C."",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""power_type"",""value"":""A.C."",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""power_requirement"",""value"":""A.C."",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""usage_application"",""value"":""Induction Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""application"",""value"":""Induction Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""usage"",""value"":""Induction Motor"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""suitable_for"",""value"":""Induction Motor"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""power_source"", ""value"": ""A.C."", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""power_supply"", ""value"": ""A.C."", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""power_type"", ""value"": ""A.C."", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""power_requirement"", ""value"": ""A.C."", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""usage_application"", ""value"": ""Induction Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""Induction Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""usage"", ""value"": ""Induction Motor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""suitable_for"", ""value"": ""Induction Motor"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
Siemens Sipart Ps2 Positioner Model 6dr5,True,3,11,"{""attributes"":[{""attribute_key"":""brand"",""value"":""Siemens"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""Siemens"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Siemens"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""Siemens"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""model_number"",""value"":""6DR5"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""model_name"",""value"":""6DR5"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""model"",""value"":""6DR5"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""model_no"",""value"":""6DR5"",""key_priority"":4,""attribute_priority"":2},{""attribute_key"":""model_no"",""value"":""Sipart PS2"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""model_name"",""value"":""Sipart PS2"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""model"",""value"":""Sipart PS2"",""key_priority"":3,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""Siemens"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""model_number"", ""value"": ""6DR5"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""model_name"", ""value"": ""6DR5"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""model"", ""value"": ""6DR5"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""model_no"", ""value"": ""6DR5"", ""key_priority"": 4, ""attribute_priority"": 2}, {""attribute_key"": ""model_no"", ""value"": ""Sipart PS2"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""model_name"", ""value"": ""Sipart PS2"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""model"", ""value"": ""Sipart PS2"", ""key_priority"": 3, ""attribute_priority"": 3}]}"
Ac Outdoor Fan Motor,True,2,8,"{""attributes"":[{""attribute_key"":""usage_application"",""value"":""Outdoor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""application"",""value"":""Outdoor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""usage_area"",""value"":""Outdoor"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""suitable_for"",""value"":""Outdoor"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""power_source"",""value"":""AC"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""power_supply"",""value"":""AC"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""power_type"",""value"":""AC"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""power_requirement"",""value"":""AC"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""usage_application"", ""value"": ""Outdoor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""Outdoor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""usage_area"", ""value"": ""Outdoor"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""suitable_for"", ""value"": ""Outdoor"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""power_source"", ""value"": ""AC"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""power_supply"", ""value"": ""AC"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""power_type"", ""value"": ""AC"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""power_requirement"", ""value"": ""AC"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
siemens-electric-motors,True,2,8,"{""attributes"":[{""attribute_key"":""brand"",""value"":""Siemens"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""Siemens"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Siemens"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""Siemens"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""type"",""value"":""Electric Motors"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""Electric Motors"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""product_type"",""value"":""Electric Motors"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""device_type"",""value"":""Electric Motors"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Siemens"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Siemens"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Siemens"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""Siemens"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""type"", ""value"": ""Electric Motors"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""Electric Motors"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""product_type"", ""value"": ""Electric Motors"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""device_type"", ""value"": ""Electric Motors"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,3,12,"{""attributes"":[{""attribute_key"":""brand"",""value"":""SIEMENS"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""SIEMENS"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""SIEMENS"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""SIEMENS"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""model_number"",""value"":""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""model_name"",""value"":""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""model"",""value"":""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""model_no"",""value"":""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""power_source"",""value"":""1kW"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""power_supply"",""value"":""1kW"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""power_type"",""value"":""1kW"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""power"",""value"":""1kW"",""key_priority"":4,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""SIEMENS"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""SIEMENS"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""SIEMENS"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""SIEMENS"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""model_number"", ""value"": ""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""model_name"", ""value"": ""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""model"", ""value"": ""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""model_no"", ""value"": ""SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""power_source"", ""value"": ""1kW"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""power_supply"", ""value"": ""1kW"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""power_type"", ""value"": ""1kW"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""power"", ""value"": ""1kW"", ""key_priority"": 4, ""attribute_priority"": 1}]}"
yako tech ms s3,True,3,11,"{""attributes"":[{""attribute_key"":""brand"",""value"":""Yako Tech"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""Yako Tech"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Yako Tech"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""Yako Tech"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""material"",""value"":""MS"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""body_material"",""value"":""MS"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""material_type"",""value"":""MS"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""casing_material"",""value"":""MS"",""key_priority"":4,""attribute_priority"":2},{""attribute_key"":""ip_rating"",""value"":""S3"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""protection_class"",""value"":""S3"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""degree_of_protection"",""value"":""S3"",""key_priority"":3,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Yako Tech"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Yako Tech"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Yako Tech"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""Yako Tech"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""material"", ""value"": ""MS"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""body_material"", ""value"": ""MS"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""material_type"", ""value"": ""MS"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""casing_material"", ""value"": ""MS"", ""key_priority"": 4, ""attribute_priority"": 2}, {""attribute_key"": ""ip_rating"", ""value"": ""S3"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""protection_class"", ""value"": ""S3"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""degree_of_protection"", ""value"": ""S3"", ""key_priority"": 3, ""attribute_priority"": 3}]}"
