query,gold_key,gold_value,qmeans_value,v6_value,qmeans_match,v6_match
Cooler Motor,part type,motor,motor,motor,TRUE,TRUE
Cooler Motor,usage,cooler,cooler,cooler,TRUE,TRUE
Actuators,part type,actuator,,actuators,FALSE,FALSE
130 Flat Motor,part type,motor,,Flat Motor,FALSE,FALSE
130 Flat Motor,frame size,130,,,FALSE,FALSE
130 Flat Motor,shape,flat,,,FALSE,FALSE
ap fan motor & fresh air moter,part type,motor,,fan motor; fresh air moter,FALSE,FALSE
ap fan motor & fresh air moter,usage,fan; fresh air,,,FALSE,FALSE
a.c. induction motor,part type,motor,,motor,FALSE,TRUE
a.c. induction motor,power source,AC,,,FALSE,FALSE
a.c. induction motor,driven type,induction,,a.c. induction,FALSE,FALSE
Siemens Sipart Ps2 Positioner Model 6dr5,brand,Siemens,siemens,Siemens,TRUE,TRUE
Siemens Sipart Ps2 Positioner Model 6dr5,part type,positioner,,Positioner,FALSE,TRUE
Siemens Sipart Ps2 Positioner Model 6dr5,series,Sipart Ps2,,,FALSE,FALSE
Siemens Sipart Ps2 Positioner Model 6dr5,model name/number,6dr5,6dr5,Sipart Ps2,TRUE,FALSE
Ac Outdoor Fan Motor,part type,motor,motor,fan motor,TRUE,FALSE
Ac Outdoor Fan Motor,power source,AC,,,FALSE,FALSE
Ac Outdoor Fan Motor,usage,outdoor fan,outdoor,outdoor,FALSE,FALSE
siemens-electric-motors,brand,Siemens,,siemens,FALSE,TRUE
siemens-electric-motors,part type,motor,,motors,FALSE,FALSE
siemens-electric-motors,power source,electric,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,brand,Siemens,siemens,SIEMENS,TRUE,TRUE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,part type,motor,,servo motor,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,series,SIMOTICS S-1FK2,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,driven type,servo,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,model name/number,1FK2104-6AF01-1MB0,1fk2104-6af01-1mb0,SIMOTICS S-1FK2 1FK2104-6AF01-1MB0,TRUE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,power,1 kW,1 kw,1 kW,TRUE,TRUE
yako tech ms s3,brand,yako tech,,yako tech,FALSE,TRUE
yako tech ms s3,model name/number,ms s3,ms s3,ms s3,TRUE,TRUE
brushless dc motor,part type,motor,,motor,FALSE,TRUE
brushless dc motor,power source,DC,,,FALSE,FALSE
brushless dc motor,driven type,brushless,,dc,FALSE,FALSE
ABB Electric Motor,brand,ABB,abb,ABB,TRUE,TRUE
ABB Electric Motor,part type,motor,,motor,FALSE,TRUE
ABB Electric Motor,power source,electric,electric,Electric,TRUE,TRUE
sensor plate,part type,sensor plate,,sensor plate,FALSE,TRUE
electronic components bo moters,part type,motor,,motors,FALSE,FALSE
electronic components bo moters,feature,electronic components,,electronic components,FALSE,TRUE
1500 kv ccw multirotor motor,part type,motor,,,FALSE,FALSE
1500 kv ccw multirotor motor,rated speed,1500 kv,,,FALSE,FALSE
1500 kv ccw multirotor motor,feature,ccw multirotor,,,FALSE,FALSE
Panasonic Geared Motor,brand,Panasonic,panasonic,Panasonic,TRUE,TRUE
Panasonic Geared Motor,part type,motor,,motor,FALSE,TRUE
Panasonic Geared Motor,driven type,geared,,geared,FALSE,TRUE
worm geared brake motor,part type,motor,,motor,FALSE,TRUE
worm geared brake motor,driven type,worm geared brake,,worm geared,FALSE,FALSE
eletical motors 40hp,part type,motor,,motors,FALSE,FALSE
eletical motors 40hp,power source,electric,,,FALSE,FALSE
eletical motors 40hp,horsepower,40hp,,,FALSE,FALSE
Rotomotive Induction Motor 3 Phase,brand,Rotomotive,rotomotive,,TRUE,FALSE
Rotomotive Induction Motor 3 Phase,part type,motor,,,FALSE,FALSE
Rotomotive Induction Motor 3 Phase,driven type,induction,,,FALSE,FALSE
Rotomotive Induction Motor 3 Phase,phase,3,,,FALSE,FALSE
100 W Chimney Motor,part type,motor,,motor,FALSE,TRUE
100 W Chimney Motor,usage,chimney,chimney,Chimney,TRUE,TRUE
100 W Chimney Motor,power,100 W,100 w,100 W,TRUE,TRUE
1 for reselling piece Panasonic Geared Motor,brand,Panasonic,panasonic,Panasonic,TRUE,TRUE
1 for reselling piece Panasonic Geared Motor,part type,motor,,geared motor,FALSE,FALSE
1 for reselling piece Panasonic Geared Motor,driven type,geared,,,FALSE,FALSE
1 for reselling piece Panasonic Geared Motor,quantity,1,,1,FALSE,TRUE
Motor Cover,part type,motor cover,,cover,FALSE,FALSE
b04420065,model name/number,b04420065,,b04420065,FALSE,TRUE
1 piece Slip Rings,part type,slip rings,,Slip Rings,FALSE,TRUE
1 piece Slip Rings,quantity,1,,1,FALSE,TRUE
venex 3 phase dol motor starter,brand,venex,venex,,TRUE,FALSE
venex 3 phase dol motor starter,part type,motor starter,,,FALSE,FALSE
venex 3 phase dol motor starter,phase,3,3 phase,,FALSE,FALSE
venex 3 phase dol motor starter,starter type,dol,dol,,TRUE,FALSE
Used Crompton Greaves Motor,brand,Crompton Greaves,crompton,,FALSE,FALSE
Used Crompton Greaves Motor,part type,motor,motor,,TRUE,FALSE
Used Crompton Greaves Motor,feature,used,,,FALSE,FALSE
Mobile Starter Prime,part type,starter,,starter,FALSE,TRUE
Mobile Starter Prime,feature,mobile prime,,,FALSE,FALSE
1kw( 1.3hp) bldc motor,part type,motor,,,FALSE,FALSE
1kw( 1.3hp) bldc motor,driven type,bldc,,,FALSE,FALSE
1kw( 1.3hp) bldc motor,power,1kw,1kw( 1.3hp),,FALSE,FALSE
1kw( 1.3hp) bldc motor,horsepower,1.3hp,,,FALSE,FALSE
1kw( 1.3hp) bldc motor near jharsuguda,part type,motor,,,FALSE,FALSE
1kw( 1.3hp) bldc motor near jharsuguda,driven type,bldc,,,FALSE,FALSE
