query,ok,key_count,attributes_json
Cooler Motor,True,3,"{""usage"": ""cooler"", ""part type"": ""motor"", ""product"": ""cooler motor""}"
Actuators,True,1,"{""product"": ""actuators""}"
130 Flat Motor,True,2,"{""model number"": ""130"", ""product"": ""motor""}"
ap fan motor & fresh air moter,True,2,"{""brand"": ""ap"", ""product"": ""ap fan motor""}"
a.c. induction motor,True,2,"{""motor type"": ""induction"", ""product"": ""a.c. induction motor""}"
Siemens Sipart Ps2 Positioner Model 6dr5,True,3,"{""model name/number"": ""6dr5"", ""brand"": ""siemens"", ""product"": ""positioner""}"
Ac Outdoor Fan Motor,True,4,"{""motor type"": ""ac"", ""part type"": ""motor"", ""usage"": ""outdoor"", ""product"": ""ac outdoor fan motor""}"
siemens-electric-motors,True,1,"{""product"": ""siemens-electric-motors""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,5,"{""power"": ""1 kw"", ""model name/number"": ""1fk2104-6af01-1mb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
yako tech ms s3,True,2,"{""model name/number"": ""ms s3"", ""product"": ""tech""}"
brushless dc motor,True,2,"{""motor type"": ""dc"", ""product"": ""brushless dc motor""}"
ABB Electric Motor,True,3,"{""brand"": ""abb"", ""power source"": ""electric"", ""product"": ""abb electric motor""}"
sensor plate,True,1,"{""product"": ""sensor plate""}"
electronic components bo moters,True,3,"{""type"": ""bo moters"", ""usage"": ""electronic components"", ""product"": ""electronic components""}"
1500 kv ccw multirotor motor,True,3,"{""power"": ""1500 kv"", ""motor type"": ""multirotor"", ""product"": ""motor""}"
Panasonic Geared Motor,True,2,"{""brand"": ""panasonic"", ""product"": ""panasonic geared motor""}"
worm geared brake motor,True,2,"{""motor type"": ""worm"", ""product"": ""worm geared brake motor""}"
eletical motors 40hp,True,2,"{""power"": ""40hp"", ""product"": ""motors""}"
Rotomotive Induction Motor 3 Phase,True,4,"{""no of phase"": ""3 phase"", ""motor type"": ""induction"", ""brand"": ""rotomotive"", ""product"": ""induction motor""}"
100 W Chimney Motor,True,3,"{""power"": ""100 w"", ""usage"": ""chimney"", ""product"": ""chimney motor""}"
1 for reselling piece Panasonic Geared Motor,True,2,"{""brand"": ""panasonic"", ""product"": ""panasonic geared motor""}"
Motor Cover,True,2,"{""motor part type"": ""cover"", ""product"": ""motor cover""}"
b04420065,True,0,{}
1 piece Slip Rings,True,3,"{""set contains"": ""1 piece"", ""motor part type"": ""slip"", ""product"": ""slip rings""}"
venex 3 phase dol motor starter,True,5,"{""phase"": ""3 phase"", ""starter type"": ""dol"", ""usage"": ""motor starter"", ""brand"": ""venex"", ""product"": ""3 phase dol motor starter""}"
Used Crompton Greaves Motor,True,4,"{""brand"": ""crompton"", ""part type"": ""motor"", ""condition"": ""used"", ""product"": ""crompton greaves motor""}"
Mobile Starter Prime,True,2,"{""model name/number"": ""prime"", ""product"": ""mobile starter""}"
1kw( 1.3hp) bldc motor,True,3,"{""power"": ""1kw( 1.3hp)"", ""motor type"": ""bldc"", ""product"": ""bldc motor""}"
1kw( 1.3hp) bldc motor near jharsuguda,True,3,"{""power"": ""1kw( 1.3hp)"", ""motor type"": ""bldc"", ""product"": ""bldc motor""}"
spg motor,True,2,"{""part type"": ""motor"", ""product"": ""motor""}"
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,True,7,"{""speed"": ""1450 rpm"", ""phase"": ""3 phase"", ""power"": ""3.70 kw"", ""horsepower"": ""5 hp"", ""brand"": ""crompton"", ""mounting type"": ""foot"", ""product"": ""crompton greaves motor""}"
Vacuum Cleaner Motors,True,3,"{""part type"": ""motors"", ""usage"": ""vacuum cleaner"", ""product"": ""vacuum cleaner motors""}"
Siemens Electric Three Phase Motor,True,4,"{""power source"": ""electric"", ""brand"": ""siemens"", ""phase"": ""three phase"", ""product"": ""siemens electric three phase motor""}"
panasonic gear box MY9G30B,True,3,"{""model name/number"": ""my9g30b"", ""brand"": ""panasonic"", ""product"": ""gear box""}"
Three Phase Dol Starter (elcw-s-digi),True,4,"{""model name/number"": ""(elcw-s-digi)"", ""starter type"": ""dol"", ""phase"": ""three phase"", ""product"": ""three phase dol starter""}"
Motor Plate,True,2,"{""motor part type"": ""plate"", ""product"": ""motor plate""}"
three phase dol dry run motor starter,True,4,"{""starter type"": ""dol"", ""usage"": ""motor starter"", ""phase"": ""three phase"", ""product"": ""motor starter""}"
Single Phase Electric Motor,True,3,"{""power source"": ""electric"", ""no of phase"": ""single phase"", ""product"": ""single phase electric motor""}"
auto switch,True,1,"{""product"": ""auto switch""}"
Mdt Knx Actuator Automation Products Dealer,True,4,"{""product"": ""automation products"", ""business type"": ""dealer"", ""model name/number"": ""knx"", ""brand"": ""mdt""}"
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),True,3,"{""starter type"": ""dol"", ""phase"": ""three phase"", ""product"": ""three phase dol auto switch""}"
Hydraulic Motor,True,2,"{""power source"": ""hydraulic"", ""product"": ""hydraulic motor""}"
sliding door motor,True,3,"{""usage"": ""door"", ""open style"": ""sliding"", ""product"": ""sliding door motor""}"
solenoid-switches,True,1,"{""product"": ""solenoid-switches""}"
symphony air cooler motor,True,4,"{""usage"": ""cooler"", ""part type"": ""motor"", ""brand"": ""symphony"", ""product"": ""symphony air cooler motor""}"
PBL Geared Motors,True,2,"{""brand"": ""pbl"", ""product"": ""pbl geared motors""}"
super max oil immersed dol motor starter,True,4,"{""starter type"": ""dol"", ""usage"": ""motor starter"", ""brand"": ""super max"", ""product"": ""dol motor starter""}"
Sunflag Table Fan Motor,True,3,"{""brand"": ""sunflag"", ""usage"": ""table fan"", ""product"": ""table fan motor""}"
Industrial Motors,True,2,"{""usage"": ""industrial"", ""product"": ""industrial motors""}"
crompton 3 phase motor 7.5 hp i3,True,5,"{""no of phase"": ""3 phase"", ""power"": ""7.5 hp"", ""brand"": ""crompton"", ""processor"": ""i3"", ""product"": ""crompton 3 phase motor""}"
linear actuator control board,True,1,"{""product"": ""linear actuator""}"
panasonic gar box,True,3,"{""packaging type"": ""box"", ""brand"": ""panasonic"", ""product"": ""panasonic""}"
à¤¡à¥à¤°à¥‹à¤¨ à¤¡à¥€à¤¸à¥€ à¤®à¥‹à¤Ÿà¤°,True,0,{}
single phase servo motor,True,2,"{""product"": ""single phase servo motor"", ""phase"": ""single phase""}"
single phase mild steel geared motor,True,3,"{""material"": ""mild steel"", ""phase"": ""single phase"", ""product"": ""mild steel geared""}"
Gold Power Single Phase Induction Motor,True,4,"{""brand"": ""gold power"", ""motor type"": ""induction motor"", ""no of phase"": ""single phase"", ""product"": ""single phase induction motor""}"
