query,ok,key_count,raw_output,attributes_json,norm_attributes_json
Cooler Motor,True,1,"{""feature"": ""Cooler Motor""}","{""feature"": ""Cooler Motor""}","{""feature"": ""Cooler Motor""}"
Actuators,True,1,"{""actuators"": ""Actuators""} </","{""actuators"": ""Actuators""}","{""actuators"": ""Actuators""}"
130 Flat Motor,True,2,"{""value"": ""130"", ""motor"": ""Flat Motor""}","{""value"": ""130"", ""motor"": ""Flat Motor""}","{""value"": ""130"", ""part type"": ""Flat Motor""}"
ap fan motor & fresh air moter,True,3,"{""features"": ""fresh air"", ""power_source"": ""fan motor &"", ""brand_or_type"": ""ap fan motor &""} </","{""features"": ""fresh air"", ""power_source"": ""fan motor &"", ""brand_or_type"": ""ap fan motor &""}","{""features"": ""fresh air"", ""power source"": ""fan motor &"", ""brand_or_type"": ""ap fan motor &""}"
a.c. induction motor,True,1,"{""motor_type"": ""a.c. induction motor""} </start","{""motor_type"": ""a.c. induction motor""}","{""motor_type"": ""a.c. induction motor""}"
Siemens Sipart Ps2 Positioner Model 6dr5,True,2,"{""model_number"": ""Ps2 Positioner Model 6dr5"", ""brand"": ""Siemens Sipart""} <end","{""model_number"": ""Ps2 Positioner Model 6dr5"", ""brand"": ""Siemens Sipart""}","{""model name/number"": ""Ps2 Positioner Model 6dr5"", ""brand"": ""Siemens Sipart""}"
Ac Outdoor Fan Motor,True,3,"{""fan"": ""Outdoor Fan"", ""power source"": ""Ac"", ""motor"": ""Fan Motor""} </start","{""fan"": ""Outdoor Fan"", ""power source"": ""Ac"", ""motor"": ""Fan Motor""}","{""part type"": ""Outdoor Fan"", ""power source"": ""Ac""}"
siemens-electric-motors,True,1,"{""brand"": ""siemens-electric-motors""}","{""brand"": ""siemens-electric-motors""}","{""brand"": ""siemens-electric-motors""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,5,"{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS S-1FK2"", ""power"": ""1 kW"", ""model_number"": ""1FK2104-6AF01-1MB0"", ""series"": ""SERVO""} <end","{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS S-1FK2"", ""power"": ""1 kW"", ""model_number"": ""1FK2104-6AF01-1MB0"", ""series"": ""SERVO""}","{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS S-1FK2"", ""power"": ""1 kW"", ""model name/number"": ""1FK2104-6AF01-1MB0"", ""series"": ""SERVO""}"
yako tech ms s3,True,2,"{""brand"": ""yako tech"", ""model_number"": ""ms s3""} </","{""brand"": ""yako tech"", ""model_number"": ""ms s3""}","{""brand"": ""yako tech"", ""model name/number"": ""ms s3""}"
brushless dc motor,True,1,"{""motor_type"": ""brushless dc motor""}","{""motor_type"": ""brushless dc motor""}","{""motor_type"": ""brushless dc motor""}"
ABB Electric Motor,True,1,"{""motor"": ""ABB Electric Motor""}","{""motor"": ""ABB Electric Motor""}","{""part type"": ""ABB Electric Motor""}"
sensor plate,True,1,"{""type"": ""sensor plate""}","{""type"": ""sensor plate""}","{""type"": ""sensor plate""}"
electronic components bo moters,True,2,"{""components"": ""electronic components"", ""power source"": ""bo moters""}","{""components"": ""electronic components"", ""power source"": ""bo moters""}","{""components"": ""electronic components"", ""power source"": ""bo moters""}"
1500 kv ccw multirotor motor,True,3,"{""voltage"": ""1500 kv"", ""motor"": ""motor"", ""attributes"": ""ccw multirotor""} </start","{""voltage"": ""1500 kv"", ""motor"": ""motor"", ""attributes"": ""ccw multirotor""}","{""voltage"": ""1500 kv"", ""part type"": ""motor""}"
Panasonic Geared Motor,True,2,"{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic""}","{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic""}","{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic""}"
worm geared brake motor,True,1,"{""mechanism"": ""worm geared brake motor""} </start","{""mechanism"": ""worm geared brake motor""}","{""mechanism"": ""worm geared brake motor""}"
eletical motors 40hp,True,2,"{""power"": ""40hp"", ""type"": ""eletical motors""} </start","{""power"": ""40hp"", ""type"": ""eletical motors""}","{""power"": ""40hp"", ""type"": ""eletical motors""}"
Rotomotive Induction Motor 3 Phase,True,3,"{""motor_type"": ""Induction Motor"", ""phase"": ""3 Phase"", ""brand"": ""Rotomotive""}","{""motor_type"": ""Induction Motor"", ""phase"": ""3 Phase"", ""brand"": ""Rotomotive""}","{""motor_type"": ""Induction Motor"", ""phase"": ""3 Phase"", ""brand"": ""Rotomotive""}"
100 W Chimney Motor,True,2,"{""power"": ""100 W"", ""motor"": ""Chimney Motor""} </start","{""power"": ""100 W"", ""motor"": ""Chimney Motor""}","{""power"": ""100 W"", ""part type"": ""Chimney Motor""}"
1 for reselling piece Panasonic Geared Motor,True,3,"{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1 for reselling piece""} </","{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1 for reselling piece""}","{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1 for reselling piece""}"
Motor Cover,True,1,"{""attribute"": ""Motor Cover""}","{""attribute"": ""Motor Cover""}",{}
b04420065,True,1,"{""query_id"": ""b04420065""}","{""query_id"": ""b04420065""}","{""query_id"": ""b04420065""}"
1 piece Slip Rings,True,2,"{""rings"": ""Slip Rings"", ""quantity"": ""1 piece""} </","{""rings"": ""Slip Rings"", ""quantity"": ""1 piece""}","{""rings"": ""Slip Rings"", ""quantity"": ""1 piece""}"
