query,ok,key_count,raw_output,attributes_json,norm_attributes_json
Cooler Motor,True,1,"{attribute: ""Cooler Motor""}","{""attribute"": ""Cooler Motor""}",{}
Actuators,True,1,"{attribute: ""Actuators""}","{""attribute"": ""Actuators""}",{}
130 Flat Motor,True,3,"{size_attribute: ""130"", shape: ""Flat"", power_source: ""Motor""}<turn|><","{""size_attribute"": ""130"", ""shape"": ""Flat"", ""power_source"": ""Motor""}","{""size_attribute"": ""130"", ""shape"": ""Flat"", ""power source"": ""Motor""}"
ap fan motor & fresh air moter,True,1,"{   ""feature"": ""ap fan motor & fresh air moter"" }<turn|><","{""feature"": ""ap fan motor & fresh air moter""}","{""feature"": ""ap fan motor & fresh air moter""}"
a.c. induction motor,False,0,{power_source}:a.c,{},{}
Siemens Sipart Ps2 Positioner Model 6dr5,True,2,"{   ""Model"": ""Positioner Model 6dr5"",   ""Brand"": ""Siemens Sipart Ps2"" } <","{""Model"": ""Positioner Model 6dr5"", ""Brand"": ""Siemens Sipart Ps2""}","{""model name/number"": ""Positioner Model 6dr5"", ""brand"": ""Siemens Sipart Ps2""}"
Ac Outdoor Fan Motor,True,1,"{feature: ""Ac"", ""Part"": ""Outdoor Fan Motor""} <","{""Part"": ""Outdoor Fan Motor""}","{""Part"": ""Outdoor Fan Motor""}"
siemens-electric-motors,False,0,{power_source}: siemens-,{},{}
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,2,"{   ""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"",   ""power"": ""1 kW"" }","{""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""power"": ""1 kW""}","{""model name/number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""power"": ""1 kW""}"
yako tech ms s3,False,0,{product_line}:ms s3,{},{}
brushless dc motor,False,0,"{motor_type}: ""brushless",{},{}
ABB Electric Motor,False,0,{power_source}:ABB Electric Motor,{},{}
sensor plate,True,1,"{attribute: ""sensor plate""}<turn|>","{""attribute"": ""sensor plate""}",{}
electronic components bo moters,True,1,"{value_attributes: ""electronic components bo moters""}","{""value_attributes"": ""electronic components bo moters""}","{""value_attributes"": ""electronic components bo moters""}"
1500 kv ccw multirotor motor,False,0,{voltage}:,{},{}
Panasonic Geared Motor,True,1,"{brand_or_model: ""Panasonic"", ""power_source"": ""Geared Motor""}","{""power_source"": ""Geared Motor""}","{""power source"": ""Geared Motor""}"
worm geared brake motor,True,1,"{attribute: ""worm geared brake motor""} <end","{""attribute"": ""worm geared brake motor""}",{}
eletical motors 40hp,False,0,"{power_source}:{""type"":",{},{}
Rotomotive Induction Motor 3 Phase,False,0,"{power_source}:{""type"":",{},{}
100 W Chimney Motor,True,1,"{power_source: ""Chimney Motor"", ""wattage"": ""100 W""}","{""wattage"": ""100 W""}","{""wattage"": ""100 W""}"
