query,gt_key1,gt_val1,gt_key2,gt_val2,gt_key3,gt_val3,gt_key4,gt_val4,gt_key5,gt_val5,gt_key6,gt_val6,gt_key7,gt_val7,gt_key8,gt_val8,gt_key9,gt_val9,gt_key10,gt_val10,gt_key11,gt_val11,,qmeans_key1,qmeans_val1,qmeans_key2,qmeans_val2,qmeans_key3,qmeans_val3,qmeans_key4,qmeans_val4,qmeans_key5,qmeans_val5,qmeans_key6,qmeans_val6,qmeans_key7,qmeans_val7,,gemma_key1,gemma_val1,gemma_key2,gemma_val2,gemma_key3,gemma_val3,gemma_key4,gemma_val4,gemma_key5,gemma_val5,gemma_key6,gemma_val6,gemma_key7,gemma_val7,gemma_key8,gemma_val8,gemma_key9,gemma_val9,,qmeans_key_match,gemma_key_match,qmeans_kv_match,gemma_kv_match,qmeans_val_any_match,gemma_val_any_match,total_gold_attrs
Cooler Motor,part type,motor,usage,cooler,,,,,,,,,,,,,,,,,,,,usage,cooler,part type,motor,product,cooler motor,,,,,,,,,,part type,motor,usage,cooler,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
Actuators,part type,actuator,,,,,,,,,,,,,,,,,,,,,,product,actuators,,,,,,,,,,,,,,part type,actuators,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
130 Flat Motor,part type,motor,frame size,130,shape,flat,,,,,,,,,,,,,,,,,,model number,130,product,motor,,,,,,,,,,,,part type,Flat Motor,model name/number,130,,,,,,,,,,,,,,,,0,1,0,0,2,1,3
ap fan motor & fresh air moter,part type,motor,usage,fan; fresh air,,,,,,,,,,,,,,,,,,,,brand,ap,product,ap fan motor,,,,,,,,,,,,part type,fan motor; fresh air moter,brand,ap,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
a.c. induction motor,part type,motor,power source,AC,driven type,induction,,,,,,,,,,,,,,,,,,motor type,induction,product,a.c. induction motor,,,,,,,,,,,,driven type,a.c. induction,part type,motor,,,,,,,,,,,,,,,,0,2,0,1,1,1,3
Siemens Sipart Ps2 Positioner Model 6dr5,brand,Siemens,part type,positioner,series,Sipart Ps2,model name/number,6dr5,,,,,,,,,,,,,,,,model name/number,6dr5,brand,siemens,product,positioner,,,,,,,,,,part type,Positioner,brand,Siemens,model name/number,Sipart Ps2,feature,6dr5,,,,,,,,,,,,2,3,2,2,3,4,4
Ac Outdoor Fan Motor,part type,motor,power source,AC,usage,outdoor fan,,,,,,,,,,,,,,,,,,motor type,ac,part type,motor,usage,outdoor,product,ac outdoor fan motor,,,,,,,,part type,fan motor,driven type,ac,usage,outdoor,,,,,,,,,,,,,,2,2,1,0,2,1,3
siemens-electric-motors,brand,Siemens,part type,motor,power source,electric,,,,,,,,,,,,,,,,,,product,siemens-electric-motors,,,,,,,,,,,,,,brand,siemens,part type,motors,driven type,electric,,,,,,,,,,,,,,0,2,0,1,0,2,3
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,brand,Siemens,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2104-6AF01-1MB0,power,1 kW,,,,,,,,,,,,power,1 kw,model name/number,1fk2104-6af01-1mb0,usage,servo motor,brand,siemens,product,servo motor,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2104-6AF01-1MB0,power,1 kW,,,,,,,,,,,,3,4,3,2,3,2,6
yako tech ms s3,brand,yako tech,model name/number,ms s3,,,,,,,,,,,,,,,,,,,,model name/number,ms s3,product,tech,,,,,,,,,,,,brand,yako tech,model name/number,ms s3,,,,,,,,,,,,,,,,1,2,1,2,1,2,2
brushless dc motor,part type,motor,power source,DC,driven type,brushless,,,,,,,,,,,,,,,,,,motor type,dc,product,brushless dc motor,,,,,,,,,,,,part type,motor,driven type,dc,feature,brushless,,,,,,,,,,,,,,0,2,0,1,1,3,3
ABB Electric Motor,brand,ABB,part type,motor,power source,electric,,,,,,,,,,,,,,,,,,brand,abb,power source,electric,product,abb electric motor,,,,,,,,,,brand,ABB,part type,motor,power source,Electric,,,,,,,,,,,,,,2,3,2,3,2,3,3
sensor plate,part type,sensor plate,,,,,,,,,,,,,,,,,,,,,,product,sensor plate,,,,,,,,,,,,,,part type,sensor plate,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1
electronic components bo moters,part type,motor,feature,electronic components,,,,,,,,,,,,,,,,,,,,type,bo moters,usage,electronic components,product,electronic components,,,,,,,,,,part type,motors,brand,bo,feature,electronic components,,,,,,,,,,,,,,0,2,0,1,1,1,2
